#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 02 08 06 00 00 1 5378.443
2011 02 08 06 15 00 1 5378.421
2011 02 08 06 30 00 1 5378.400
2011 02 08 06 45 00 1 5378.382
2011 02 08 07 00 00 1 5378.369
2011 02 08 07 15 00 1 5378.361
2011 02 08 07 30 00 1 5378.356
2011 02 08 07 45 00 1 5378.355
2011 02 08 08 00 00 1 5378.357
2011 02 08 08 15 00 1 5378.362
2011 02 08 08 30 00 1 5378.376
2011 02 08 08 45 00 1 5378.391
2011 02 08 09 00 00 1 5378.418
2011 02 08 09 15 00 1 5378.443
2011 02 08 09 30 00 1 5378.475
2011 02 08 09 45 00 1 5378.508
2011 02 08 10 00 00 1 5378.544
2011 02 08 10 15 00 1 5378.584
2011 02 08 10 30 00 1 5378.622
2011 02 08 10 45 00 1 5378.662
2011 02 08 11 00 00 1 5378.703
2011 02 08 11 15 00 1 5378.744
2011 02 08 11 30 00 1 5378.782
2011 02 08 11 45 00 1 5378.825
2011 02 08 12 00 00 1 5378.864
2011 02 08 12 15 00 1 5378.899
2011 02 08 12 30 00 1 5378.932
2011 02 08 12 45 00 1 5378.966
2011 02 08 13 00 00 1 5378.994
2011 02 08 13 15 00 1 5379.019
2011 02 08 13 30 00 1 5379.040
2011 02 08 13 45 00 1 5379.052
2011 02 08 14 00 00 1 5379.067
2011 02 08 14 15 00 1 5379.072
2011 02 08 14 30 00 1 5379.077
2011 02 08 14 45 00 1 5379.078
2011 02 08 15 00 00 1 5379.075
2011 02 08 15 15 00 1 5379.069
2011 02 08 15 30 00 1 5379.056
2011 02 08 15 45 00 1 5379.038
2011 02 08 16 00 00 1 5379.021
2011 02 08 16 15 00 1 5378.995
2011 02 08 16 30 00 1 5378.966
2011 02 08 16 45 00 1 5378.935
2011 02 08 17 00 00 1 5378.903
2011 02 08 17 15 00 1 5378.869
2011 02 08 17 30 00 1 5378.833
2011 02 08 17 45 00 1 5378.797
2011 02 08 18 00 00 1 5378.761
2011 02 08 18 15 00 1 5378.724
2011 02 08 18 30 00 1 5378.686
2011 02 08 18 45 00 1 5378.653
2011 02 08 19 00 00 1 5378.619
2011 02 08 19 15 00 1 5378.590
2011 02 08 19 30 00 1 5378.561
2011 02 08 19 45 00 1 5378.537
2011 02 08 20 00 00 1 5378.515
2011 02 08 20 15 00 1 5378.496
2011 02 08 20 30 00 1 5378.482
2011 02 08 20 45 00 1 5378.470
2011 02 08 21 00 00 1 5378.464
2011 02 08 21 15 00 1 5378.461
2011 02 08 21 30 00 1 5378.461
2011 02 08 21 45 00 1 5378.463
2011 02 08 22 00 00 1 5378.468
2011 02 08 22 15 00 1 5378.476
2011 02 08 22 30 00 1 5378.488
2011 02 08 22 45 00 1 5378.498
2011 02 08 23 00 00 1 5378.513
2011 02 08 23 15 00 1 5378.528
2011 02 08 23 30 00 1 5378.542
2011 02 08 23 45 00 1 5378.561
2011 02 09 00 00 00 1 5378.577
2011 02 09 00 15 00 1 5378.593
2011 02 09 00 30 00 1 5378.610
2011 02 09 00 45 00 1 5378.629
2011 02 09 01 00 00 1 5378.643
2011 02 09 01 15 00 1 5378.656
2011 02 09 01 30 00 1 5378.668
2011 02 09 01 45 00 1 5378.678
2011 02 09 02 00 00 1 5378.684
2011 02 09 02 15 00 1 5378.692
2011 02 09 02 30 00 1 5378.691
2011 02 09 02 45 00 1 5378.692
2011 02 09 03 00 00 1 5378.690
2011 02 09 03 15 00 1 5378.685
2011 02 09 03 30 00 1 5378.677
2011 02 09 03 45 00 1 5378.671
2011 02 09 04 00 00 1 5378.657
2011 02 09 04 15 00 1 5378.646
2011 02 09 04 30 00 1 5378.631
2011 02 09 04 45 00 1 5378.613
2011 02 09 05 00 00 1 5378.600
2011 02 09 05 15 00 1 5378.582
2011 02 09 05 30 00 1 5378.565
2011 02 09 05 45 00 1 5378.548
2011 02 09 06 00 00 1 5378.535
2011 02 09 06 15 00 1 5378.519
2011 02 09 06 30 00 1 5378.506
2011 02 09 06 45 00 1 5378.495
2011 02 09 07 00 00 1 5378.485
2011 02 09 07 15 00 1 5378.474
2011 02 09 07 30 00 1 5378.470
2011 02 09 07 45 00 1 5378.467
2011 02 09 08 00 00 1 5378.471
2011 02 09 08 15 00 1 5378.477
2011 02 09 08 30 00 1 5378.487
2011 02 09 08 45 00 1 5378.497
2011 02 09 09 00 00 1 5378.513
2011 02 09 09 15 00 1 5378.532
2011 02 09 09 30 00 1 5378.553
2011 02 09 09 45 00 1 5378.578
2011 02 09 10 00 00 1 5378.608
2011 02 09 10 15 00 1 5378.639
2011 02 09 10 30 00 1 5378.673
2011 02 09 10 45 00 1 5378.704
2011 02 09 11 00 00 1 5378.741
2011 02 09 11 15 00 1 5378.778
2011 02 09 11 30 00 1 5378.813
2011 02 09 11 45 00 1 5378.850
2011 02 09 12 00 00 1 5378.888
2011 02 09 12 15 00 1 5378.923
2011 02 09 12 30 00 1 5378.958
2011 02 09 12 45 00 1 5378.990
2011 02 09 13 00 00 1 5379.023
2011 02 09 13 15 00 1 5379.049
2011 02 09 13 30 00 1 5379.075
2011 02 09 13 45 00 1 5379.096
2011 02 09 14 00 00 1 5379.113
2011 02 09 14 15 00 1 5379.128
2011 02 09 14 30 00 1 5379.138
2011 02 09 14 45 00 1 5379.143
2011 02 09 15 00 00 1 5379.144
2011 02 09 15 15 00 1 5379.145
2011 02 09 15 30 00 1 5379.138
2011 02 09 15 45 00 1 5379.128
2011 02 09 16 00 00 1 5379.111
2011 02 09 16 15 00 1 5379.093
2011 02 09 16 30 00 1 5379.072
2011 02 09 16 45 00 1 5379.045
2011 02 09 17 00 00 1 5379.016
2011 02 09 17 15 00 1 5378.984
2011 02 09 17 30 00 1 5378.951
2011 02 09 17 45 00 1 5378.914
2011 02 09 18 00 00 1 5378.879
2011 02 09 18 15 00 1 5378.845
2011 02 09 18 30 00 1 5378.808
2011 02 09 18 45 00 1 5378.772
2011 02 09 19 00 00 1 5378.736
2011 02 09 19 15 00 1 5378.701
2011 02 09 19 30 00 1 5378.663
2011 02 09 19 45 00 1 5378.629
2011 02 09 20 00 00 1 5378.599
2011 02 09 20 15 00 1 5378.569
2011 02 09 20 30 00 1 5378.541
2011 02 09 20 45 00 1 5378.517
2011 02 09 21 00 00 1 5378.494
2011 02 09 21 15 00 1 5378.473
2011 02 09 21 30 00 1 5378.456
2011 02 09 21 45 00 1 5378.441
2011 02 09 22 00 00 1 5378.432
2011 02 09 22 15 00 1 5378.426
2011 02 09 22 30 00 1 5378.422
2011 02 09 22 45 00 1 5378.421
2011 02 09 23 00 00 1 5378.418
2011 02 09 23 15 00 1 5378.420
2011 02 09 23 30 00 1 5378.424
2011 02 09 23 45 00 1 5378.430
2011 02 10 00 00 00 1 5378.437
2011 02 10 00 15 00 1 5378.444
2011 02 10 00 30 00 1 5378.453
2011 02 10 00 45 00 1 5378.465
2011 02 10 01 00 00 1 5378.475
2011 02 10 01 15 00 1 5378.486
2011 02 10 01 30 00 1 5378.500
2011 02 10 01 45 00 1 5378.515
2011 02 10 02 00 00 1 5378.526
2011 02 10 02 15 00 1 5378.539
2011 02 10 02 30 00 1 5378.551
2011 02 10 02 45 00 1 5378.560
2011 02 10 03 00 00 1 5378.568
2011 02 10 03 15 00 1 5378.574
2011 02 10 03 30 00 1 5378.580
2011 02 10 03 45 00 1 5378.582
2011 02 10 04 00 00 1 5378.584
2011 02 10 04 15 00 1 5378.586
2011 02 10 04 30 00 1 5378.586
2011 02 10 04 45 00 1 5378.585
2011 02 10 05 00 00 1 5378.584
2011 02 10 05 15 00 1 5378.581
2011 02 10 05 30 00 1 5378.578
2011 02 10 05 45 00 1 5378.573
2011 02 10 06 00 00 1 5378.568
2011 02 10 06 15 00 1 5378.562
2011 02 10 06 30 00 1 5378.557
2011 02 10 06 45 00 1 5378.552
2011 02 10 07 00 00 1 5378.549
2011 02 10 07 15 00 1 5378.545
2011 02 10 07 30 00 1 5378.546
2011 02 10 07 45 00 1 5378.548
2011 02 10 08 00 00 1 5378.551
2011 02 10 08 15 00 1 5378.556
2011 02 10 08 30 00 1 5378.565
2011 02 10 08 45 00 1 5378.574
2011 02 10 09 00 00 1 5378.587
2011 02 10 09 15 00 1 5378.601
2011 02 10 09 30 00 1 5378.619
2011 02 10 09 45 00 1 5378.639
2011 02 10 10 00 00 1 5378.660
2011 02 10 10 15 00 1 5378.682
2011 02 10 10 30 00 1 5378.708
2011 02 10 10 45 00 1 5378.736
2011 02 10 11 00 00 1 5378.766
2011 02 10 11 15 00 1 5378.795
2011 02 10 11 30 00 1 5378.825
2011 02 10 11 45 00 1 5378.856
2011 02 10 12 00 00 1 5378.891
2011 02 10 12 15 00 1 5378.924
2011 02 10 12 30 00 1 5378.956
2011 02 10 12 45 00 1 5378.987
2011 02 10 13 00 00 1 5379.017
2011 02 10 13 15 00 1 5379.045
2011 02 10 13 30 00 1 5379.072
2011 02 10 13 45 00 1 5379.095
2011 02 10 14 00 00 1 5379.118
2011 02 10 14 15 00 1 5379.135
2011 02 10 14 30 00 1 5379.151
2011 02 10 14 45 00 1 5379.163
2011 02 10 15 00 00 1 5379.171
2011 02 10 15 15 00 1 5379.176
2011 02 10 15 30 00 1 5379.178
2011 02 10 15 45 00 1 5379.175
2011 02 10 16 00 00 1 5379.171
2011 02 10 16 15 00 1 5379.163
2011 02 10 16 30 00 1 5379.147
2011 02 10 16 45 00 1 5379.132
2011 02 10 17 00 00 1 5379.111
2011 02 10 17 15 00 1 5379.088
2011 02 10 17 30 00 1 5379.061
2011 02 10 17 45 00 1 5379.033
2011 02 10 18 00 00 1 5379.004
2011 02 10 18 15 00 1 5378.971
2011 02 10 18 30 00 1 5378.938
2011 02 10 18 45 00 1 5378.901
2011 02 10 19 00 00 1 5378.866
2011 02 10 19 15 00 1 5378.829
2011 02 10 19 30 00 1 5378.789
2011 02 10 19 45 00 1 5378.751
2011 02 10 20 00 00 1 5378.712
2011 02 10 20 15 00 1 5378.673
2011 02 10 20 30 00 1 5378.637
2011 02 10 20 45 00 1 5378.600
2011 02 10 21 00 00 1 5378.564
2011 02 10 21 15 00 1 5378.533
2011 02 10 21 30 00 1 5378.503
2011 02 10 21 45 00 1 5378.479
2011 02 10 22 00 00 1 5378.455
2011 02 10 22 15 00 1 5378.431
2011 02 10 22 30 00 1 5378.411
2011 02 10 22 45 00 1 5378.393
2011 02 10 23 00 00 1 5378.378
2011 02 10 23 15 00 1 5378.363
2011 02 10 23 30 00 1 5378.353
2011 02 10 23 45 00 1 5378.345
2011 02 11 00 00 00 1 5378.340
2011 02 11 00 15 00 1 5378.336
2011 02 11 00 30 00 1 5378.337
2011 02 11 00 45 00 1 5378.339
2011 02 11 01 00 00 1 5378.344
2011 02 11 01 15 00 1 5378.353
2011 02 11 01 30 00 1 5378.363
2011 02 11 01 45 00 1 5378.373
2011 02 11 02 00 00 1 5378.383
2011 02 11 02 15 00 1 5378.397
2011 02 11 02 30 00 1 5378.411
2011 02 11 02 45 00 1 5378.421
2011 02 11 03 00 00 1 5378.436
2011 02 11 03 15 00 1 5378.448
2011 02 11 03 30 00 1 5378.461
2011 02 11 03 45 00 1 5378.475
2011 02 11 04 00 00 1 5378.485
2011 02 11 04 15 00 1 5378.497
2011 02 11 04 30 00 1 5378.509
2011 02 11 04 45 00 1 5378.521
2011 02 11 05 00 00 1 5378.533
2011 02 11 05 15 00 1 5378.542
2011 02 11 05 30 00 1 5378.552
2011 02 11 05 45 00 1 5378.560
2011 02 11 06 00 00 1 5378.569
2011 02 11 06 15 00 1 5378.577
2011 02 11 06 30 00 1 5378.585
2011 02 11 06 45 00 1 5378.590
2011 02 11 07 00 00 1 5378.594
2011 02 11 07 15 00 1 5378.603
2011 02 11 07 30 00 1 5378.608
2011 02 11 07 45 00 1 5378.616
2011 02 11 08 00 00 1 5378.624
2011 02 11 08 15 00 1 5378.632
2011 02 11 08 30 00 1 5378.641
2011 02 11 08 45 00 1 5378.650
2011 02 11 09 00 00 1 5378.662
2011 02 11 09 15 00 1 5378.675
2011 02 11 09 30 00 1 5378.689
2011 02 11 09 45 00 1 5378.701
2011 02 11 10 00 00 1 5378.714
2011 02 11 10 15 00 1 5378.735
2011 02 11 10 30 00 1 5378.751
2011 02 11 10 45 00 1 5378.771
2011 02 11 11 00 00 1 5378.793
2011 02 11 11 15 00 1 5378.816
2011 02 11 11 30 00 1 5378.844
2011 02 11 11 45 00 1 5378.873
2011 02 11 12 00 00 1 5378.899
2011 02 11 12 15 00 1 5378.924
2011 02 11 12 30 00 1 5378.954
2011 02 11 12 45 00 1 5378.983
2011 02 11 13 00 00 1 5379.009
2011 02 11 13 15 00 1 5379.036
2011 02 11 13 30 00 1 5379.065
2011 02 11 13 45 00 1 5379.086
2011 02 11 14 00 00 1 5379.109
2011 02 11 14 15 00 1 5379.133
2011 02 11 14 30 00 1 5379.152
2011 02 11 14 45 00 1 5379.170
2011 02 11 15 00 00 1 5379.186
2011 02 11 15 15 00 1 5379.198
2011 02 11 15 30 00 1 5379.209
2011 02 11 15 45 00 1 5379.217
2011 02 11 16 00 00 1 5379.223
2011 02 11 16 15 00 1 5379.224
2011 02 11 16 30 00 1 5379.219
2011 02 11 16 45 00 1 5379.214
2011 02 11 17 00 00 1 5379.204
2011 02 11 17 15 00 1 5379.191
2011 02 11 17 30 00 1 5379.176
2011 02 11 17 45 00 1 5379.158
2011 02 11 18 00 00 1 5379.135
2011 02 11 18 15 00 1 5379.112
2011 02 11 18 30 00 1 5379.090
2011 02 11 18 45 00 1 5379.059
2011 02 11 19 00 00 1 5379.029
2011 02 11 19 15 00 1 5378.996
2011 02 11 19 30 00 1 5378.961
2011 02 11 19 45 00 1 5378.925
2011 02 11 20 00 00 1 5378.882
2011 02 11 20 15 00 1 5378.842
2011 02 11 20 30 00 1 5378.801
2011 02 11 20 45 00 1 5378.756
2011 02 11 21 00 00 1 5378.713
2011 02 11 21 15 00 1 5378.673
2011 02 11 21 30 00 1 5378.630
2011 02 11 21 45 00 1 5378.589
2011 02 11 22 00 00 1 5378.548
2011 02 11 22 15 00 1 5378.509
2011 02 11 22 30 00 1 5378.471
2011 02 11 22 45 00 1 5378.433
2011 02 11 23 00 00 1 5378.401
2011 02 11 23 15 00 1 5378.370
2011 02 11 23 30 00 1 5378.341
2011 02 11 23 45 00 1 5378.315
2011 02 12 00 00 00 1 5378.294
2011 02 12 00 15 00 1 5378.276
2011 02 12 00 30 00 1 5378.260
2011 02 12 00 45 00 1 5378.247
2011 02 12 01 00 00 1 5378.236
2011 02 12 01 15 00 1 5378.230
2011 02 12 01 30 00 1 5378.228
2011 02 12 01 45 00 1 5378.230
2011 02 12 02 00 00 1 5378.233
2011 02 12 02 15 00 1 5378.241
2011 02 12 02 30 00 1 5378.248
2011 02 12 02 45 00 1 5378.260
2011 02 12 03 00 00 1 5378.271
2011 02 12 03 15 00 1 5378.287
2011 02 12 03 30 00 1 5378.301
2011 02 12 03 45 00 1 5378.316
2011 02 12 04 00 00 1 5378.335
2011 02 12 04 15 00 1 5378.356
2011 02 12 04 30 00 1 5378.377
2011 02 12 04 45 00 1 5378.398
2011 02 12 05 00 00 1 5378.420
2011 02 12 05 15 00 1 5378.441
2011 02 12 05 30 00 1 5378.460
2011 02 12 05 45 00 1 5378.482
2011 02 12 06 00 00 1 5378.501
2011 02 12 06 15 00 1 5378.523
2011 02 12 06 30 00 1 5378.542
2011 02 12 06 45 00 1 5378.562
2011 02 12 07 00 00 1 5378.581
2011 02 12 07 15 00 1 5378.598
2011 02 12 07 30 00 1 5378.615
2011 02 12 07 45 00 1 5378.634
2011 02 12 08 00 00 1 5378.651
2011 02 12 08 15 00 1 5378.665
2011 02 12 08 30 00 1 5378.678
2011 02 12 08 45 00 1 5378.692
2011 02 12 09 00 00 1 5378.705
2011 02 12 09 15 00 1 5378.719
2011 02 12 09 30 00 1 5378.734
2011 02 12 09 45 00 1 5378.748
2011 02 12 10 00 00 1 5378.763
2011 02 12 10 15 00 1 5378.778
2011 02 12 10 30 00 1 5378.791
2011 02 12 10 45 00 1 5378.805
2011 02 12 11 00 00 1 5378.819
2011 02 12 11 15 00 1 5378.836
2011 02 12 11 30 00 1 5378.854
2011 02 12 11 45 00 1 5378.872
2011 02 12 12 00 00 1 5378.893
2011 02 12 12 15 00 1 5378.914
2011 02 12 12 30 00 1 5378.933
2011 02 12 12 45 00 1 5378.952
2011 02 12 13 00 00 1 5378.976
2011 02 12 13 15 00 1 5378.997
2011 02 12 13 30 00 1 5379.021
2011 02 12 13 45 00 1 5379.043
2011 02 12 14 00 00 1 5379.065
2011 02 12 14 15 00 1 5379.087
2011 02 12 14 30 00 1 5379.108
2011 02 12 14 45 00 1 5379.131
2011 02 12 15 00 00 1 5379.149
2011 02 12 15 15 00 1 5379.171
2011 02 12 15 30 00 1 5379.188
2011 02 12 15 45 00 1 5379.204
2011 02 12 16 00 00 1 5379.218
2011 02 12 16 15 00 1 5379.232
2011 02 12 16 30 00 1 5379.239
2011 02 12 16 45 00 1 5379.243
2011 02 12 17 00 00 1 5379.244
2011 02 12 17 15 00 1 5379.243
2011 02 12 17 30 00 1 5379.237
2011 02 12 17 45 00 1 5379.233
2011 02 12 18 00 00 1 5379.223
2011 02 12 18 15 00 1 5379.210
2011 02 12 18 30 00 1 5379.198
2011 02 12 18 45 00 1 5379.182
2011 02 12 19 00 00 1 5379.161
2011 02 12 19 15 00 1 5379.136
2011 02 12 19 30 00 1 5379.105
2011 02 12 19 45 00 1 5379.072
2011 02 12 20 00 00 1 5379.035
2011 02 12 20 15 00 1 5378.995
2011 02 12 20 30 00 1 5378.953
2011 02 12 20 45 00 1 5378.909
2011 02 12 21 00 00 1 5378.864
2011 02 12 21 15 00 1 5378.817
2011 02 12 21 30 00 1 5378.769
2011 02 12 21 45 00 1 5378.719
2011 02 12 22 00 00 1 5378.671
2011 02 12 22 15 00 1 5378.622
2011 02 12 22 30 00 1 5378.574
2011 02 12 22 45 00 1 5378.522
2011 02 12 23 00 00 1 5378.471
2011 02 12 23 15 00 1 5378.421
2011 02 12 23 30 00 1 5378.373
2011 02 12 23 45 00 1 5378.331
2011 02 13 00 00 00 1 5378.289
2011 02 13 00 15 00 1 5378.252
2011 02 13 00 30 00 1 5378.218
2011 02 13 00 45 00 1 5378.188
2011 02 13 01 00 00 1 5378.161
2011 02 13 01 15 00 1 5378.137
2011 02 13 01 30 00 1 5378.120
2011 02 13 01 45 00 1 5378.109
2011 02 13 02 00 00 1 5378.099
2011 02 13 02 15 00 1 5378.094
2011 02 13 02 30 00 1 5378.091
2011 02 13 02 45 00 1 5378.095
2011 02 13 03 00 00 1 5378.100
2011 02 13 03 15 00 1 5378.108
2011 02 13 03 30 00 1 5378.121
2011 02 13 03 45 00 1 5378.136
2011 02 13 04 00 00 1 5378.155
2011 02 13 04 15 00 1 5378.177
2011 02 13 04 30 00 1 5378.203
2011 02 13 04 45 00 1 5378.230
2011 02 13 05 00 00 1 5378.260
2011 02 13 05 15 00 1 5378.289
2011 02 13 05 30 00 1 5378.321
2011 02 13 05 45 00 1 5378.353
2011 02 13 06 00 00 1 5378.386
2011 02 13 06 15 00 1 5378.420
2011 02 13 06 30 00 1 5378.449
2011 02 13 06 45 00 1 5378.480
2011 02 13 07 00 00 1 5378.511
2011 02 13 07 15 00 1 5378.542
2011 02 13 07 30 00 1 5378.573
2011 02 13 07 45 00 1 5378.600
2011 02 13 08 00 00 1 5378.630
2011 02 13 08 15 00 1 5378.655
2011 02 13 08 30 00 1 5378.679
2011 02 13 08 45 00 1 5378.701
2011 02 13 09 00 00 1 5378.720
2011 02 13 09 15 00 1 5378.738
2011 02 13 09 30 00 1 5378.755
2011 02 13 09 45 00 1 5378.769
2011 02 13 10 00 00 1 5378.784
2011 02 13 10 15 00 1 5378.795
2011 02 13 10 30 00 1 5378.806
2011 02 13 10 45 00 1 5378.816
2011 02 13 11 00 00 1 5378.825
2011 02 13 11 15 00 1 5378.836
2011 02 13 11 30 00 1 5378.848
2011 02 13 11 45 00 1 5378.861
2011 02 13 12 00 00 1 5378.875
2011 02 13 12 15 00 1 5378.887
