station_id,timestamp_utc,height_m
46411,2011-06-01T00:00:00+00:00,4256.008
46411,2011-06-01T00:15:00+00:00,4256.015
46411,2011-06-01T00:30:00+00:00,4256.025
46411,2011-06-01T00:45:00+00:00,4256.045
46411,2011-06-01T01:00:00+00:00,4256.067
46411,2011-06-01T01:15:00+00:00,4256.097
46411,2011-06-01T01:30:00+00:00,4256.135
46411,2011-06-01T01:45:00+00:00,4256.178
46411,2011-06-01T02:00:00+00:00,4256.227
46411,2011-06-01T02:15:00+00:00,4256.273
46411,2011-06-01T02:30:00+00:00,4256.334
46411,2011-06-01T02:45:00+00:00,4256.395
46411,2011-06-01T03:00:00+00:00,4256.454
46411,2011-06-01T03:15:00+00:00,4256.517
46411,2011-06-01T03:30:00+00:00,4256.579
46411,2011-06-01T03:45:00+00:00,4256.638
46411,2011-06-01T04:00:00+00:00,4256.691
46411,2011-06-01T04:15:00+00:00,4256.748
46411,2011-06-01T04:30:00+00:00,4256.795
46411,2011-06-01T04:45:00+00:00,4256.838
46411,2011-06-01T05:00:00+00:00,4256.873
46411,2011-06-01T05:15:00+00:00,4256.904
46411,2011-06-01T05:30:00+00:00,4256.920
46411,2011-06-01T05:45:00+00:00,4256.929
46411,2011-06-01T06:00:00+00:00,4256.929
46411,2011-06-01T06:15:00+00:00,4256.918
46411,2011-06-01T06:30:00+00:00,4256.898
46411,2011-06-01T06:45:00+00:00,4256.867
46411,2011-06-01T07:00:00+00:00,4256.827
46411,2011-06-01T07:15:00+00:00,4256.778
46411,2011-06-01T07:30:00+00:00,4256.718
46411,2011-06-01T07:45:00+00:00,4256.658
46411,2011-06-01T08:00:00+00:00,4256.583
46411,2011-06-01T08:15:00+00:00,4256.503
46411,2011-06-01T08:30:00+00:00,4256.416
46411,2011-06-01T08:45:00+00:00,4256.324
46411,2011-06-01T09:00:00+00:00,4256.227
46411,2011-06-01T09:15:00+00:00,4256.123
46411,2011-06-01T09:30:00+00:00,4256.020
46411,2011-06-01T09:45:00+00:00,4255.914
46411,2011-06-01T10:00:00+00:00,4255.808
46411,2011-06-01T10:15:00+00:00,4255.703
46411,2011-06-01T10:30:00+00:00,4255.600
46411,2011-06-01T10:45:00+00:00,4255.503
46411,2011-06-01T11:00:00+00:00,4255.408
46411,2011-06-01T11:15:00+00:00,4255.321
46411,2011-06-01T11:30:00+00:00,4255.239
46411,2011-06-01T11:45:00+00:00,4255.166
46411,2011-06-01T12:00:00+00:00,4255.100
46411,2011-06-01T12:15:00+00:00,4255.046
46411,2011-06-01T12:30:00+00:00,4255.001
46411,2011-06-01T12:45:00+00:00,4254.967
46411,2011-06-01T13:00:00+00:00,4254.945
46411,2011-06-01T13:15:00+00:00,4254.927
46411,2011-06-01T13:30:00+00:00,4254.925
46411,2011-06-01T13:45:00+00:00,4254.934
46411,2011-06-01T14:00:00+00:00,4254.958
46411,2011-06-01T14:15:00+00:00,4254.989
46411,2011-06-01T14:30:00+00:00,4255.031
46411,2011-06-01T14:45:00+00:00,4255.081
46411,2011-06-01T15:00:00+00:00,4255.139
46411,2011-06-01T15:15:00+00:00,4255.205
46411,2011-06-01T15:30:00+00:00,4255.276
46411,2011-06-01T15:45:00+00:00,4255.352
46411,2011-06-01T16:00:00+00:00,4255.431
46411,2011-06-01T16:15:00+00:00,4255.512
46411,2011-06-01T16:30:00+00:00,4255.598
46411,2011-06-01T16:45:00+00:00,4255.682
46411,2011-06-01T17:00:00+00:00,4255.764
46411,2011-06-01T17:15:00+00:00,4255.846
46411,2011-06-01T17:30:00+00:00,4255.926
46411,2011-06-01T17:45:00+00:00,4255.999
46411,2011-06-01T18:00:00+00:00,4256.075
46411,2011-06-01T18:15:00+00:00,4256.136
46411,2011-06-01T18:30:00+00:00,4256.195
46411,2011-06-01T18:45:00+00:00,4256.243
46411,2011-06-01T19:00:00+00:00,4256.286
46411,2011-06-01T19:15:00+00:00,4256.321
46411,2011-06-01T19:30:00+00:00,4256.345
46411,2011-06-01T19:45:00+00:00,4256.370
46411,2011-06-01T20:00:00+00:00,4256.383
46411,2011-06-01T20:15:00+00:00,4256.389
46411,2011-06-01T20:30:00+00:00,4256.390
46411,2011-06-01T20:45:00+00:00,4256.383
46411,2011-06-01T21:00:00+00:00,4256.368
46411,2011-06-01T21:15:00+00:00,4256.347
46411,2011-06-01T21:30:00+00:00,4256.326
46411,2011-06-01T21:45:00+00:00,4256.296
46411,2011-06-01T22:00:00+00:00,4256.266
46411,2011-06-01T22:15:00+00:00,4256.233
46411,2011-06-01T22:30:00+00:00,4256.200
46411,2011-06-01T22:45:00+00:00,4256.167
46411,2011-06-01T23:00:00+00:00,4256.138
46411,2011-06-01T23:15:00+00:00,4256.110
46411,2011-06-01T23:30:00+00:00,4256.084
46411,2011-06-01T23:45:00+00:00,4256.061
46411,2011-06-02T00:00:00+00:00,4256.040
46411,2011-06-02T00:15:00+00:00,4256.031
46411,2011-06-02T00:30:00+00:00,4256.024
46411,2011-06-02T00:45:00+00:00,4256.025
46411,2011-06-02T01:00:00+00:00,4256.032
46411,2011-06-02T01:15:00+00:00,4256.042
46411,2011-06-02T01:30:00+00:00,4256.062
46411,2011-06-02T01:45:00+00:00,4256.091
46411,2011-06-02T02:00:00+00:00,4256.126
46411,2011-06-02T02:15:00+00:00,4256.166
46411,2011-06-02T02:30:00+00:00,4256.212
46411,2011-06-02T02:45:00+00:00,4256.262
46411,2011-06-02T03:00:00+00:00,4256.317
46411,2011-06-02T03:15:00+00:00,4256.376
46411,2011-06-02T03:30:00+00:00,4256.438
46411,2011-06-02T03:45:00+00:00,4256.501
46411,2011-06-02T04:00:00+00:00,4256.565
46411,2011-06-02T04:15:00+00:00,4256.621
46411,2011-06-02T04:30:00+00:00,4256.679
46411,2011-06-02T04:45:00+00:00,4256.733
46411,2011-06-02T05:00:00+00:00,4256.783
46411,2011-06-02T05:15:00+00:00,4256.830
46411,2011-06-02T05:30:00+00:00,4256.870
46411,2011-06-02T05:45:00+00:00,4256.903
46411,2011-06-02T06:00:00+00:00,4256.924
46411,2011-06-02T06:15:00+00:00,4256.938
46411,2011-06-02T06:30:00+00:00,4256.942
46411,2011-06-02T06:45:00+00:00,4256.936
46411,2011-06-02T07:00:00+00:00,4256.919
46411,2011-06-02T07:15:00+00:00,4256.892
46411,2011-06-02T07:30:00+00:00,4256.856
46411,2011-06-02T07:45:00+00:00,4256.809
46411,2011-06-02T08:00:00+00:00,4256.754
46411,2011-06-02T08:15:00+00:00,4256.689
46411,2011-06-02T08:30:00+00:00,4256.617
46411,2011-06-02T08:45:00+00:00,4256.536
46411,2011-06-02T09:00:00+00:00,4256.447
46411,2011-06-02T09:15:00+00:00,4256.354
46411,2011-06-02T09:30:00+00:00,4256.252
46411,2011-06-02T09:45:00+00:00,4256.150
46411,2011-06-02T10:00:00+00:00,4256.043
46411,2011-06-02T10:15:00+00:00,4255.933
46411,2011-06-02T10:30:00+00:00,4255.822
46411,2011-06-02T10:45:00+00:00,4255.712
46411,2011-06-02T11:00:00+00:00,4255.606
46411,2011-06-02T11:15:00+00:00,4255.505
46411,2011-06-02T11:30:00+00:00,4255.405
46411,2011-06-02T11:45:00+00:00,4255.311
46411,2011-06-02T12:00:00+00:00,4255.222
46411,2011-06-02T12:15:00+00:00,4255.143
46411,2011-06-02T12:30:00+00:00,4255.071
46411,2011-06-02T12:45:00+00:00,4255.009
46411,2011-06-02T13:00:00+00:00,4254.953
46411,2011-06-02T13:15:00+00:00,4254.916
46411,2011-06-02T13:30:00+00:00,4254.886
46411,2011-06-02T13:45:00+00:00,4254.871
46411,2011-06-02T14:00:00+00:00,4254.867
46411,2011-06-02T14:15:00+00:00,4254.871
46411,2011-06-02T14:30:00+00:00,4254.890
46411,2011-06-02T14:45:00+00:00,4254.917
46411,2011-06-02T15:00:00+00:00,4254.954
46411,2011-06-02T15:15:00+00:00,4255.003
46411,2011-06-02T15:30:00+00:00,4255.060
46411,2011-06-02T15:45:00+00:00,4255.125
46411,2011-06-02T16:00:00+00:00,4255.200
46411,2011-06-02T16:15:00+00:00,4255.279
46411,2011-06-02T16:30:00+00:00,4255.362
46411,2011-06-02T16:45:00+00:00,4255.448
46411,2011-06-02T17:00:00+00:00,4255.535
46411,2011-06-02T17:15:00+00:00,4255.624
46411,2011-06-02T17:30:00+00:00,4255.710
46411,2011-06-02T17:45:00+00:00,4255.796
46411,2011-06-02T18:00:00+00:00,4255.883
46411,2011-06-02T18:15:00+00:00,4255.964
46411,2011-06-02T18:30:00+00:00,4256.040
46411,2011-06-02T18:45:00+00:00,4256.110
46411,2011-06-02T19:00:00+00:00,4256.176
46411,2011-06-02T19:15:00+00:00,4256.232
46411,2011-06-02T19:30:00+00:00,4256.279
46411,2011-06-02T19:45:00+00:00,4256.318
46411,2011-06-02T20:00:00+00:00,4256.351
46411,2011-06-02T20:15:00+00:00,4256.374
46411,2011-06-02T20:30:00+00:00,4256.392
46411,2011-06-02T20:45:00+00:00,4256.400
46411,2011-06-02T21:00:00+00:00,4256.400
46411,2011-06-02T21:15:00+00:00,4256.396
46411,2011-06-02T21:30:00+00:00,4256.383
46411,2011-06-02T21:45:00+00:00,4256.362
46411,2011-06-02T22:00:00+00:00,4256.337
46411,2011-06-02T22:15:00+00:00,4256.309
46411,2011-06-02T22:30:00+00:00,4256.279
46411,2011-06-02T22:45:00+00:00,4256.244
46411,2011-06-02T23:00:00+00:00,4256.210
46411,2011-06-02T23:15:00+00:00,4256.176
46411,2011-06-02T23:30:00+00:00,4256.142
46411,2011-06-02T23:45:00+00:00,4256.107
46411,2011-06-03T00:00:00+00:00,4256.077
46411,2011-06-03T00:15:00+00:00,4256.048
46411,2011-06-03T00:30:00+00:00,4256.027
46411,2011-06-03T00:45:00+00:00,4256.009
46411,2011-06-03T01:00:00+00:00,4255.998
46411,2011-06-03T01:15:00+00:00,4255.994
46411,2011-06-03T01:30:00+00:00,4255.998
46411,2011-06-03T01:45:00+00:00,4256.004
46411,2011-06-03T02:00:00+00:00,4256.023
46411,2011-06-03T02:15:00+00:00,4256.048
46411,2011-06-03T02:30:00+00:00,4256.079
46411,2011-06-03T02:45:00+00:00,4256.117
46411,2011-06-03T03:00:00+00:00,4256.160
46411,2011-06-03T03:15:00+00:00,4256.210
46411,2011-06-03T03:30:00+00:00,4256.263
46411,2011-06-03T03:45:00+00:00,4256.320
46411,2011-06-03T04:00:00+00:00,4256.379
46411,2011-06-03T04:15:00+00:00,4256.441
46411,2011-06-03T04:30:00+00:00,4256.504
46411,2011-06-03T04:45:00+00:00,4256.566
46411,2011-06-03T05:00:00+00:00,4256.625
46411,2011-06-03T05:15:00+00:00,4256.684
46411,2011-06-03T05:30:00+00:00,4256.735
46411,2011-06-03T05:45:00+00:00,4256.784
46411,2011-06-03T06:00:00+00:00,4256.820
46411,2011-06-03T06:15:00+00:00,4256.858
46411,2011-06-03T06:30:00+00:00,4256.884
46411,2011-06-03T06:45:00+00:00,4256.902
46411,2011-06-03T07:00:00+00:00,4256.910
46411,2011-06-03T07:15:00+00:00,4256.911
46411,2011-06-03T07:30:00+00:00,4256.904
46411,2011-06-03T07:45:00+00:00,4256.883
46411,2011-06-03T08:00:00+00:00,4256.855
46411,2011-06-03T08:15:00+00:00,4256.816
46411,2011-06-03T08:30:00+00:00,4256.766
46411,2011-06-03T08:45:00+00:00,4256.707
46411,2011-06-03T09:00:00+00:00,4256.638
46411,2011-06-03T09:15:00+00:00,4256.560
46411,2011-06-03T09:30:00+00:00,4256.474
46411,2011-06-03T09:45:00+00:00,4256.381
46411,2011-06-03T10:00:00+00:00,4256.282
46411,2011-06-03T10:15:00+00:00,4256.175
46411,2011-06-03T10:30:00+00:00,4256.068
46411,2011-06-03T10:45:00+00:00,4255.960
46411,2011-06-03T11:00:00+00:00,4255.847
46411,2011-06-03T11:15:00+00:00,4255.737
46411,2011-06-03T11:30:00+00:00,4255.628
46411,2011-06-03T11:45:00+00:00,4255.522
46411,2011-06-03T12:00:00+00:00,4255.420
46411,2011-06-03T12:15:00+00:00,4255.322
46411,2011-06-03T12:30:00+00:00,4255.231
46411,2011-06-03T12:45:00+00:00,4255.144
46411,2011-06-03T13:00:00+00:00,4255.067
