#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2009 08 29 18 00 00 1 4266.569
2009 08 29 18 15 00 1 4266.552
2009 08 29 18 30 00 1 4266.536
2009 08 29 18 45 00 1 4266.518
2009 08 29 19 00 00 1 4266.502
2009 08 29 19 15 00 1 4266.486
2009 08 29 19 30 00 1 4266.474
2009 08 29 19 45 00 1 4266.466
2009 08 29 20 00 00 1 4266.456
2009 08 29 20 15 00 1 4266.451
2009 08 29 20 30 00 1 4266.450
2009 08 29 20 45 00 1 4266.457
2009 08 29 21 00 00 1 4266.466
2009 08 29 21 15 00 1 4266.476
2009 08 29 21 30 00 1 4266.497
2009 08 29 21 45 00 1 4266.521
2009 08 29 22 00 00 1 4266.545
2009 08 29 22 15 00 1 4266.572
2009 08 29 22 30 00 1 4266.603
2009 08 29 22 45 00 1 4266.638
2009 08 29 23 00 00 1 4266.674
2009 08 29 23 15 00 1 4266.713
2009 08 29 23 30 00 1 4266.756
2009 08 29 23 45 00 1 4266.797
2009 08 30 00 00 00 1 4266.836
2009 08 30 00 15 00 1 4266.876
2009 08 30 00 30 00 1 4266.915
2009 08 30 00 45 00 1 4266.951
2009 08 30 01 00 00 1 4266.981
2009 08 30 01 15 00 1 4267.006
2009 08 30 01 30 00 1 4267.030
2009 08 30 01 45 00 1 4267.051
2009 08 30 02 00 00 1 4267.066
2009 08 30 02 15 00 1 4267.075
2009 08 30 02 30 00 1 4267.079
2009 08 30 02 45 00 1 4267.075
2009 08 30 03 00 00 1 4267.064
2009 08 30 03 15 00 1 4267.049
2009 08 30 03 30 00 1 4267.026
2009 08 30 03 45 00 1 4266.999
2009 08 30 04 00 00 1 4266.965
2009 08 30 04 15 00 1 4266.921
2009 08 30 04 30 00 1 4266.872
2009 08 30 04 45 00 1 4266.816
2009 08 30 05 00 00 1 4266.756
2009 08 30 05 15 00 1 4266.692
2009 08 30 05 30 00 1 4266.622
2009 08 30 05 45 00 1 4266.547
2009 08 30 06 00 00 1 4266.472
2009 08 30 06 15 00 1 4266.394
2009 08 30 06 30 00 1 4266.317
2009 08 30 06 45 00 1 4266.240
2009 08 30 07 00 00 1 4266.162
2009 08 30 07 15 00 1 4266.089
2009 08 30 07 30 00 1 4266.015
2009 08 30 07 45 00 1 4265.944
2009 08 30 08 00 00 1 4265.881
2009 08 30 08 15 00 1 4265.821
2009 08 30 08 30 00 1 4265.770
2009 08 30 08 45 00 1 4265.720
2009 08 30 09 00 00 1 4265.680
2009 08 30 09 15 00 1 4265.646
2009 08 30 09 30 00 1 4265.620
2009 08 30 09 45 00 1 4265.604
2009 08 30 10 00 00 1 4265.597
2009 08 30 10 15 00 1 4265.597
2009 08 30 10 30 00 1 4265.603
2009 08 30 10 45 00 1 4265.617
2009 08 30 11 00 00 1 4265.640
2009 08 30 11 15 00 1 4265.668
2009 08 30 11 30 00 1 4265.708
2009 08 30 11 45 00 1 4265.750
2009 08 30 12 00 00 1 4265.796
2009 08 30 12 15 00 1 4265.847
2009 08 30 12 30 00 1 4265.903
2009 08 30 12 45 00 1 4265.957
2009 08 30 13 00 00 1 4266.015
2009 08 30 13 15 00 1 4266.074
2009 08 30 13 30 00 1 4266.138
2009 08 30 13 45 00 1 4266.198
2009 08 30 14 00 00 1 4266.255
2009 08 30 14 15 00 1 4266.314
2009 08 30 14 30 00 1 4266.368
2009 08 30 14 45 00 1 4266.418
2009 08 30 15 00 00 1 4266.465
2009 08 30 15 15 00 1 4266.510
2009 08 30 15 30 00 1 4266.549
2009 08 30 15 45 00 1 4266.582
2009 08 30 16 00 00 1 4266.612
2009 08 30 16 15 00 1 4266.637
2009 08 30 16 30 00 1 4266.655
2009 08 30 16 45 00 1 4266.667
2009 08 30 17 00 00 1 4266.672
2009 08 30 17 15 00 1 4266.675
2009 08 30 17 30 00 1 4266.673
2009 08 30 17 45 00 1 4266.670
2009 08 30 18 00 00 1 4266.660
2009 08 30 18 15 00 1 4266.649
2009 08 30 18 30 00 1 4266.633
2009 08 30 18 45 00 1 4266.616
2009 08 30 19 00 00 1 4266.595
2009 08 30 19 15 00 1 4266.577
2009 08 30 19 30 00 1 4266.555
2009 08 30 19 45 00 1 4266.535
2009 08 30 20 00 00 1 4266.515
2009 08 30 20 15 00 1 4266.500
2009 08 30 20 30 00 1 4266.482
2009 08 30 20 45 00 1 4266.469
2009 08 30 21 00 00 1 4266.458
2009 08 30 21 15 00 1 4266.451
2009 08 30 21 30 00 1 4266.448
2009 08 30 21 45 00 1 4266.450
2009 08 30 22 00 00 1 4266.457
2009 08 30 22 15 00 1 4266.467
2009 08 30 22 30 00 1 4266.482
2009 08 30 22 45 00 1 4266.503
2009 08 30 23 00 00 1 4266.527
2009 08 30 23 15 00 1 4266.558
2009 08 30 23 30 00 1 4266.590
2009 08 30 23 45 00 1 4266.626
2009 08 31 00 00 00 1 4266.666
2009 08 31 00 15 00 1 4266.706
2009 08 31 00 30 00 1 4266.749
2009 08 31 00 45 00 1 4266.790
2009 08 31 01 00 00 1 4266.832
2009 08 31 01 15 00 1 4266.874
2009 08 31 01 30 00 1 4266.917
2009 08 31 01 45 00 1 4266.957
2009 08 31 02 00 00 1 4266.991
2009 08 31 02 15 00 1 4267.029
2009 08 31 02 30 00 1 4267.057
2009 08 31 02 45 00 1 4267.078
2009 08 31 03 00 00 1 4267.099
2009 08 31 03 15 00 1 4267.111
2009 08 31 03 30 00 1 4267.115
2009 08 31 03 45 00 1 4267.112
2009 08 31 04 00 00 1 4267.102
2009 08 31 04 15 00 1 4267.082
