t,v,s,f,q
2015-09-16 00:00,1.77,0.023,"0,0,0,0",v
2015-09-16 00:06,1.79,0.023,"0,0,0,0",v
2015-09-16 00:12,1.782,0.023,"0,0,0,0",v
2015-09-16 00:18,1.821,0.027,"0,0,0,0",v
2015-09-16 00:24,1.829,0.026,"0,0,0,0",v
2015-09-16 00:30,1.813,0.02,"0,0,0,0",v
2015-09-16 00:36,1.838,0.026,"0,0,0,0",v
2015-09-16 00:42,1.857,0.022,"0,0,0,0",v
2015-09-16 00:48,1.853,0.029,"0,0,0,0",v
2015-09-16 00:54,1.882,0.025,"0,0,0,0",v
2015-09-16 01:00,1.869,0.027,"0,0,0,0",v
2015-09-16 01:06,1.867,0.025,"0,0,0,0",v
2015-09-16 01:12,1.905,0.024,"0,0,0,0",v
2015-09-16 01:18,1.889,0.023,"0,0,0,0",v
2015-09-16 01:24,1.909,0.023,"0,0,0,0",v
2015-09-16 01:30,1.898,0.023,"0,0,0,0",v
2015-09-16 01:36,1.92,0.024,"0,0,0,0",v
2015-09-16 01:42,1.895,0.024,"0,0,0,0",v
2015-09-16 01:48,1.924,0.024,"0,0,0,0",v
2015-09-16 01:54,1.929,0.024,"0,0,0,0",v
2015-09-16 02:00,1.908,0.022,"0,0,0,0",v
2015-09-16 02:06,1.911,0.028,"0,0,0,0",v
2015-09-16 02:12,1.94,0.023,"0,0,0,0",v
2015-09-16 02:18,1.917,0.025,"0,0,0,0",v
2015-09-16 02:24,1.903,0.023,"0,0,0,0",v
2015-09-16 02:30,1.912,0.027,"0,0,0,0",v
2015-09-16 02:36,1.908,0.023,"0,0,0,0",v
2015-09-16 02:42,1.891,0.023,"0,0,0,0",v
2015-09-16 02:48,1.922,0.022,"0,0,0,0",v
2015-09-16 02:54,1.882,0.027,"0,0,0,0",v
2015-09-16 03:00,1.865,0.028,"0,0,0,0",v
2015-09-16 03:06,1.899,0.025,"0,0,0,0",v
2015-09-16 03:12,1.88,0.025,"0,0,0,0",v
2015-09-16 03:18,1.841,0.023,"0,0,0,0",v
2015-09-16 03:24,1.858,0.021,"0,0,0,0",v
2015-09-16 03:30,1.846,0.027,"0,0,0,0",v
2015-09-16 03:36,1.822,0.029,"0,0,0,0",v
2015-09-16 03:42,1.814,0.026,"0,0,0,0",v
2015-09-16 03:48,1.836,0.024,"0,0,0,0",v
2015-09-16 03:54,1.795,0.027,"0,0,0,0",v
2015-09-16 04:00,1.772,0.021,"0,0,0,0",v
2015-09-16 04:06,1.775,0.027,"0,0,0,0",v
2015-09-16 04:12,1.772,0.02,"0,0,0,0",v
2015-09-16 04:18,1.74,0.028,"0,0,0,0",v
2015-09-16 04:24,1.739,0.029,"0,0,0,0",v
2015-09-16 04:30,1.73,0.036,"0,0,0,0",v
2015-09-16 04:36,1.689,0.027,"0,0,0,0",v
2015-09-16 04:42,1.706,0.024,"0,0,0,0",v
2015-09-16 04:48,1.682,0.028,"0,0,0,0",v
2015-09-16 04:54,1.662,0.024,"0,0,0,0",v
2015-09-16 05:00,1.636,0.025,"0,0,0,0",v
2015-09-16 05:06,1.632,0.023,"0,0,0,0",v
2015-09-16 05:12,1.62,0.022,"0,0,0,0",v
2015-09-16 05:18,1.593,0.025,"0,0,0,0",v
2015-09-16 05:24,1.587,0.025,"0,0,0,0",v
2015-09-16 05:30,1.568,0.025,"0,0,0,0",v
2015-09-16 05:36,1.553,0.024,"0,0,0,0",v
2015-09-16 05:42,1.533,0.024,"0,0,0,0",v
2015-09-16 05:48,1.537,0.026,"0,0,0,0",v
2015-09-16 05:54,1.505,0.023,"0,0,0,0",v
2015-09-16 06:00,1.478,0.023,"0,0,0,0",v
2015-09-16 06:06,1.479,0.022,"0,0,0,0",v
2015-09-16 06:12,1.471,0.027,"0,0,0,0",v
2015-09-16 06:18,1.455,0.027,"0,0,0,0",v
2015-09-16 06:24,1.455,0.028,"0,0,0,0",v
2015-09-16 06:30,1.446,0.025,"0,0,0,0",v
2015-09-16 06:36,1.42,0.024,"0,0,0,0",v
2015-09-16 06:42,1.418,0.026,"0,0,0,0",v
2015-09-16 06:48,1.398,0.023,"0,0,0,0",v
2015-09-16 06:54,1.409,0.025,"0,0,0,0",v
2015-09-16 07:00,1.384,0.023,"0,0,0,0",v
2015-09-16 07:06,1.393,0.027,"0,0,0,0",v
2015-09-16 07:12,1.389,0.032,"0,0,0,0",v
2015-09-16 07:18,1.348,0.026,"0,0,0,0",v
2015-09-16 07:24,1.352,0.023,"0,0,0,0",v
2015-09-16 07:30,1.343,0.024,"0,0,0,0",v
2015-09-16 07:36,1.381,0.031,"0,0,0,0",v
2015-09-16 07:42,1.306,0.026,"0,0,0,0",v
2015-09-16 07:48,1.319,0.029,"0,0,0,0",v
2015-09-16 07:54,1.336,0.029,"0,0,0,0",v
2015-09-16 08:00,1.297,0.029,"0,0,0,0",v
2015-09-16 08:06,1.34,0.027,"0,0,0,0",v
2015-09-16 08:12,1.306,0.028,"0,0,0,0",v
2015-09-16 08:18,1.311,0.021,"0,0,0,0",v
2015-09-16 08:24,1.312,0.024,"0,0,0,0",v
2015-09-16 08:30,1.318,0.025,"0,0,0,0",v
2015-09-16 08:36,1.324,0.026,"0,0,0,0",v
2015-09-16 08:42,1.313,0.026,"0,0,0,0",v
2015-09-16 08:48,1.33,0.025,"0,0,0,0",v
2015-09-16 08:54,1.33,0.027,"0,0,0,0",v
2015-09-16 09:00,1.327,0.029,"0,0,0,0",v
2015-09-16 09:06,1.317,0.025,"0,0,0,0",v
2015-09-16 09:12,1.349,0.033,"0,0,0,0",v
2015-09-16 09:18,1.355,0.027,"0,0,0,0",v
2015-09-16 09:24,1.348,0.029,"0,0,0,0",v
2015-09-16 09:30,1.354,0.027,"0,0,0,0",v
2015-09-16 09:36,1.364,0.024,"0,0,0,0",v
2015-09-16 09:42,1.394,0.025,"0,0,0,0",v
2015-09-16 09:48,1.399,0.025,"0,0,0,0",v
2015-09-16 09:54,1.375,0.028,"0,0,0,0",v
2015-09-16 10:00,1.418,0.026,"0,0,0,0",v
2015-09-16 10:06,1.438,0.026,"0,0,0,0",v
2015-09-16 10:12,1.435,0.034,"0,0,0,0",v
2015-09-16 10:18,1.446,0.028,"0,0,0,0",v
2015-09-16 10:24,1.472,0.025,"0,0,0,0",v
2015-09-16 10:30,1.475,0.029,"0,0,0,0",v
2015-09-16 10:36,1.495,0.03,"0,0,0,0",v
2015-09-16 10:42,1.522,0.027,"0,0,0,0",v
2015-09-16 10:48,1.498,0.03,"0,0,0,0",v
2015-09-16 10:54,1.555,0.031,"0,0,0,0",v
2015-09-16 11:00,1.569,0.028,"0,0,0,0",v
2015-09-16 11:06,1.547,0.032,"0,0,0,0",v
2015-09-16 11:12,1.581,0.033,"0,0,0,0",v
2015-09-16 11:18,1.615,0.029,"0,0,0,0",v
2015-09-16 11:24,1.619,0.032,"0,0,0,0",v
2015-09-16 11:30,1.613,0.028,"0,0,0,0",v
2015-09-16 11:36,1.655,0.025,"0,0,0,0",v
2015-09-16 11:42,1.669,0.027,"0,0,0,0",v
2015-09-16 11:48,1.663,0.027,"0,0,0,0",v
2015-09-16 11:54,1.709,0.03,"0,0,0,0",v
2015-09-16 12:00,1.699,0.026,"0,0,0,0",v
2015-09-16 12:06,1.732,0.023,"0,0,0,0",v
2015-09-16 12:12,1.739,0.031,"0,0,0,0",v
