station_id,timestamp_utc,seconds_from_origin,height_m
46407,2015-08-17T23:00:00+00:00,-2591672,3268.749
46407,2015-08-17T23:15:00+00:00,-2590772,3268.699
46407,2015-08-17T23:30:00+00:00,-2589872,3268.646
46407,2015-08-17T23:45:00+00:00,-2588972,3268.579
46407,2015-08-18T00:00:00+00:00,-2588072,3268.507
46407,2015-08-18T00:15:00+00:00,-2587172,3268.429
46407,2015-08-18T00:30:00+00:00,-2586272,3268.347
46407,2015-08-18T00:45:00+00:00,-2585372,3268.267
46407,2015-08-18T01:00:00+00:00,-2584472,3268.183
46407,2015-08-18T01:15:00+00:00,-2583572,3268.096
46407,2015-08-18T01:30:00+00:00,-2582672,3268.014
46407,2015-08-18T01:45:00+00:00,-2581772,3267.936
46407,2015-08-18T02:00:00+00:00,-2580872,3267.863
46407,2015-08-18T02:15:00+00:00,-2579972,3267.796
46407,2015-08-18T02:30:00+00:00,-2579072,3267.733
46407,2015-08-18T02:45:00+00:00,-2578172,3267.682
46407,2015-08-18T03:00:00+00:00,-2577272,3267.637
46407,2015-08-18T03:15:00+00:00,-2576372,3267.600
46407,2015-08-18T03:30:00+00:00,-2575472,3267.574
46407,2015-08-18T03:45:00+00:00,-2574572,3267.560
46407,2015-08-18T04:00:00+00:00,-2573672,3267.554
46407,2015-08-18T04:15:00+00:00,-2572772,3267.566
46407,2015-08-18T04:30:00+00:00,-2571872,3267.583
46407,2015-08-18T04:45:00+00:00,-2570972,3267.615
46407,2015-08-18T05:00:00+00:00,-2570072,3267.652
46407,2015-08-18T05:15:00+00:00,-2569172,3267.699
46407,2015-08-18T05:30:00+00:00,-2568272,3267.755
46407,2015-08-18T05:45:00+00:00,-2567372,3267.823
46407,2015-08-18T06:00:00+00:00,-2566472,3267.894
46407,2015-08-18T06:15:00+00:00,-2565572,3267.968
46407,2015-08-18T06:30:00+00:00,-2564672,3268.045
46407,2015-08-18T06:45:00+00:00,-2563772,3268.128
46407,2015-08-18T07:00:00+00:00,-2562872,3268.208
46407,2015-08-18T07:15:00+00:00,-2561972,3268.287
46407,2015-08-18T07:30:00+00:00,-2561072,3268.366
46407,2015-08-18T07:45:00+00:00,-2560172,3268.439
46407,2015-08-18T08:00:00+00:00,-2559272,3268.507
46407,2015-08-18T08:15:00+00:00,-2558372,3268.569
46407,2015-08-18T08:30:00+00:00,-2557472,3268.628
46407,2015-08-18T08:45:00+00:00,-2556572,3268.674
46407,2015-08-18T09:00:00+00:00,-2555672,3268.715
46407,2015-08-18T09:15:00+00:00,-2554772,3268.744
46407,2015-08-18T09:30:00+00:00,-2553872,3268.765
46407,2015-08-18T09:45:00+00:00,-2552972,3268.777
46407,2015-08-18T10:00:00+00:00,-2552072,3268.775
46407,2015-08-18T10:15:00+00:00,-2551172,3268.763
46407,2015-08-18T10:30:00+00:00,-2550272,3268.741
46407,2015-08-18T10:45:00+00:00,-2549372,3268.705
46407,2015-08-18T11:00:00+00:00,-2548472,3268.662
46407,2015-08-18T11:15:00+00:00,-2547572,3268.610
46407,2015-08-18T11:30:00+00:00,-2546672,3268.548
46407,2015-08-18T11:45:00+00:00,-2545772,3268.478
46407,2015-08-18T12:00:00+00:00,-2544872,3268.399
46407,2015-08-18T12:15:00+00:00,-2543972,3268.319
46407,2015-08-18T12:30:00+00:00,-2543072,3268.232
46407,2015-08-18T12:45:00+00:00,-2542172,3268.139
46407,2015-08-18T13:00:00+00:00,-2541272,3268.046
46407,2015-08-18T13:15:00+00:00,-2540372,3267.955
46407,2015-08-18T13:30:00+00:00,-2539472,3267.864
46407,2015-08-18T13:45:00+00:00,-2538572,3267.775
46407,2015-08-18T14:00:00+00:00,-2537672,3267.692
46407,2015-08-18T14:15:00+00:00,-2536772,3267.611
46407,2015-08-18T14:30:00+00:00,-2535872,3267.538
46407,2015-08-18T14:45:00+00:00,-2534972,3267.471
46407,2015-08-18T15:00:00+00:00,-2534072,3267.416
46407,2015-08-18T15:15:00+00:00,-2533172,3267.371
46407,2015-08-18T15:30:00+00:00,-2532272,3267.336
46407,2015-08-18T15:45:00+00:00,-2531372,3267.310
46407,2015-08-18T16:00:00+00:00,-2530472,3267.301
46407,2015-08-18T16:15:00+00:00,-2529572,3267.300
46407,2015-08-18T16:30:00+00:00,-2528672,3267.314
46407,2015-08-18T16:45:00+00:00,-2527772,3267.338
46407,2015-08-18T17:00:00+00:00,-2526872,3267.374
46407,2015-08-18T17:15:00+00:00,-2525972,3267.420
46407,2015-08-18T17:30:00+00:00,-2525072,3267.474
46407,2015-08-18T17:45:00+00:00,-2524172,3267.543
46407,2015-08-18T18:00:00+00:00,-2523272,3267.617
46407,2015-08-18T18:15:00+00:00,-2522372,3267.696
46407,2015-08-18T18:30:00+00:00,-2521472,3267.778
46407,2015-08-18T18:45:00+00:00,-2520572,3267.870
46407,2015-08-18T19:00:00+00:00,-2519672,3267.966
46407,2015-08-18T19:15:00+00:00,-2518772,3268.063
46407,2015-08-18T19:30:00+00:00,-2517872,3268.158
46407,2015-08-18T19:45:00+00:00,-2516972,3268.250
46407,2015-08-18T20:00:00+00:00,-2516072,3268.341
46407,2015-08-18T20:15:00+00:00,-2515172,3268.430
46407,2015-08-18T20:30:00+00:00,-2514272,3268.514
46407,2015-08-18T20:45:00+00:00,-2513372,3268.588
46407,2015-08-18T21:00:00+00:00,-2512472,3268.655
46407,2015-08-18T21:15:00+00:00,-2511572,3268.712
46407,2015-08-18T21:30:00+00:00,-2510672,3268.764
46407,2015-08-18T21:45:00+00:00,-2509772,3268.802
46407,2015-08-18T22:00:00+00:00,-2508872,3268.827
46407,2015-08-18T22:15:00+00:00,-2507972,3268.845
46407,2015-08-18T22:30:00+00:00,-2507072,3268.849
46407,2015-08-18T22:45:00+00:00,-2506172,3268.842
46407,2015-08-18T23:00:00+00:00,-2505272,3268.820
46407,2015-08-18T23:15:00+00:00,-2504372,3268.793
46407,2015-08-18T23:30:00+00:00,-2503472,3268.755
46407,2015-08-18T23:45:00+00:00,-2502572,3268.704
46407,2015-08-19T00:00:00+00:00,-2501672,3268.646
46407,2015-08-19T00:15:00+00:00,-2500772,3268.583
46407,2015-08-19T00:30:00+00:00,-2499872,3268.513
46407,2015-08-19T00:45:00+00:00,-2498972,3268.439
46407,2015-08-19T01:00:00+00:00,-2498072,3268.360
46407,2015-08-19T01:15:00+00:00,-2497172,3268.277
46407,2015-08-19T01:30:00+00:00,-2496272,3268.190
46407,2015-08-19T01:45:00+00:00,-2495372,3268.107
46407,2015-08-19T02:00:00+00:00,-2494472,3268.024
46407,2015-08-19T02:15:00+00:00,-2493572,3267.943
46407,2015-08-19T02:30:00+00:00,-2492672,3267.865
46407,2015-08-19T02:45:00+00:00,-2491772,3267.798
46407,2015-08-19T03:00:00+00:00,-2490872,3267.733
46407,2015-08-19T03:15:00+00:00,-2489972,3267.674
46407,2015-08-19T03:30:00+00:00,-2489072,3267.624
46407,2015-08-19T03:45:00+00:00,-2488172,3267.584
46407,2015-08-19T04:00:00+00:00,-2487272,3267.550
46407,2015-08-19T04:15:00+00:00,-2486372,3267.530
46407,2015-08-19T04:30:00+00:00,-2485472,3267.522
46407,2015-08-19T04:45:00+00:00,-2484572,3267.519
46407,2015-08-19T05:00:00+00:00,-2483672,3267.527
46407,2015-08-19T05:15:00+00:00,-2482772,3267.548
46407,2015-08-19T05:30:00+00:00,-2481872,3267.579
46407,2015-08-19T05:45:00+00:00,-2480972,3267.618
46407,2015-08-19T06:00:00+00:00,-2480072,3267.669
46407,2015-08-19T06:15:00+00:00,-2479172,3267.727
46407,2015-08-19T06:30:00+00:00,-2478272,3267.791
46407,2015-08-19T06:45:00+00:00,-2477372,3267.855
46407,2015-08-19T07:00:00+00:00,-2476472,3267.927
46407,2015-08-19T07:15:00+00:00,-2475572,3268.000
46407,2015-08-19T07:30:00+00:00,-2474672,3268.075
46407,2015-08-19T07:45:00+00:00,-2473772,3268.148
46407,2015-08-19T08:00:00+00:00,-2472872,3268.225
46407,2015-08-19T08:15:00+00:00,-2471972,3268.297
46407,2015-08-19T08:30:00+00:00,-2471072,3268.365
46407,2015-08-19T08:45:00+00:00,-2470172,3268.426
46407,2015-08-19T09:00:00+00:00,-2469272,3268.484
46407,2015-08-19T09:15:00+00:00,-2468372,3268.534
46407,2015-08-19T09:30:00+00:00,-2467472,3268.578
46407,2015-08-19T09:45:00+00:00,-2466572,3268.614
46407,2015-08-19T10:00:00+00:00,-2465672,3268.636
46407,2015-08-19T10:15:00+00:00,-2464772,3268.649
46407,2015-08-19T10:30:00+00:00,-2463872,3268.656
46407,2015-08-19T10:45:00+00:00,-2462972,3268.651
46407,2015-08-19T11:00:00+00:00,-2462072,3268.639
46407,2015-08-19T11:15:00+00:00,-2461172,3268.612
46407,2015-08-19T11:30:00+00:00,-2460272,3268.580
46407,2015-08-19T11:45:00+00:00,-2459372,3268.537
46407,2015-08-19T12:00:00+00:00,-2458472,3268.488
46407,2015-08-19T12:15:00+00:00,-2457572,3268.428
46407,2015-08-19T12:30:00+00:00,-2456672,3268.366
46407,2015-08-19T12:45:00+00:00,-2455772,3268.295
46407,2015-08-19T13:00:00+00:00,-2454872,3268.220
46407,2015-08-19T13:15:00+00:00,-2453972,3268.143
46407,2015-08-19T13:30:00+00:00,-2453072,3268.064
46407,2015-08-19T13:45:00+00:00,-2452172,3267.980
46407,2015-08-19T14:00:00+00:00,-2451272,3267.900
46407,2015-08-19T14:15:00+00:00,-2450372,3267.824
46407,2015-08-19T14:30:00+00:00,-2449472,3267.751
46407,2015-08-19T14:45:00+00:00,-2448572,3267.680
46407,2015-08-19T15:00:00+00:00,-2447672,3267.615
46407,2015-08-19T15:15:00+00:00,-2446772,3267.559
46407,2015-08-19T15:30:00+00:00,-2445872,3267.509
46407,2015-08-19T15:45:00+00:00,-2444972,3267.470
46407,2015-08-19T16:00:00+00:00,-2444072,3267.437
46407,2015-08-19T16:15:00+00:00,-2443172,3267.418
46407,2015-08-19T16:30:00+00:00,-2442272,3267.410
46407,2015-08-19T16:45:00+00:00,-2441372,3267.408
46407,2015-08-19T17:00:00+00:00,-2440472,3267.417
46407,2015-08-19T17:15:00+00:00,-2439572,3267.439
46407,2015-08-19T17:30:00+00:00,-2438672,3267.470
46407,2015-08-19T17:45:00+00:00,-2437772,3267.511
46407,2015-08-19T18:00:00+00:00,-2436872,3267.557
46407,2015-08-19T18:15:00+00:00,-2435972,3267.619
46407,2015-08-19T18:30:00+00:00,-2435072,3267.685
46407,2015-08-19T18:45:00+00:00,-2434172,3267.759
