t,v,s,f,q
2015-09-16 00:00,1.28,0.008,"0,0,0,0",v
2015-09-16 00:06,1.288,0.007,"0,0,0,0",v
2015-09-16 00:12,1.293,0.007,"0,0,0,0",v
2015-09-16 00:18,1.303,0.003,"0,0,0,0",v
2015-09-16 00:24,1.309,0.006,"0,0,0,0",v
2015-09-16 00:30,1.319,0.004,"0,0,0,0",v
2015-09-16 00:36,1.329,0.006,"0,0,0,0",v
2015-09-16 00:42,1.338,0.007,"0,0,0,0",v
2015-09-16 00:48,1.37,0.004,"0,0,0,0",v
2015-09-16 00:54,1.372,0.004,"0,0,0,0",v
2015-09-16 01:00,1.402,0.006,"0,0,0,0",v
2015-09-16 01:06,1.408,0.007,"0,0,0,0",v
2015-09-16 01:12,1.434,0.005,"0,0,0,0",v
2015-09-16 01:18,1.45,0.005,"0,0,0,0",v
2015-09-16 01:24,1.478,0.008,"0,0,0,0",v
2015-09-16 01:30,1.486,0.008,"0,0,0,0",v
2015-09-16 01:36,1.507,0.005,"0,0,0,0",v
2015-09-16 01:42,1.53,0.006,"0,0,0,0",v
2015-09-16 01:48,1.548,0.006,"0,0,0,0",v
2015-09-16 01:54,1.572,0.008,"0,0,0,0",v
2015-09-16 02:00,1.596,0.008,"0,0,0,0",v
2015-09-16 02:06,1.614,0.008,"0,0,0,0",v
2015-09-16 02:12,1.637,0.007,"0,0,0,0",v
2015-09-16 02:18,1.659,0.008,"0,0,0,0",v
2015-09-16 02:24,1.686,0.007,"0,0,0,0",v
2015-09-16 02:30,1.696,0.005,"0,0,0,0",v
2015-09-16 02:36,1.717,0.006,"0,0,0,0",v
2015-09-16 02:42,1.73,0.005,"0,0,0,0",v
2015-09-16 02:48,1.761,0.008,"0,0,0,0",v
2015-09-16 02:54,1.78,0.005,"0,0,0,0",v
2015-09-16 03:00,1.805,0.006,"0,0,0,0",v
2015-09-16 03:06,1.819,0.004,"0,0,0,0",v
2015-09-16 03:12,1.84,0.005,"0,0,0,0",v
2015-09-16 03:18,1.859,0.007,"0,0,0,0",v
2015-09-16 03:24,1.875,0.006,"0,0,0,0",v
2015-09-16 03:30,1.896,0.009,"0,0,0,0",v
2015-09-16 03:36,1.92,0.008,"0,0,0,0",v
2015-09-16 03:42,1.947,0.005,"0,0,0,0",v
2015-09-16 03:48,1.959,0.006,"0,0,0,0",v
2015-09-16 03:54,1.983,0.007,"0,0,0,0",v
2015-09-16 04:00,1.983,0.006,"0,0,0,0",v
2015-09-16 04:06,2.013,0.005,"0,0,0,0",v
2015-09-16 04:12,2.016,0.006,"0,0,0,0",v
2015-09-16 04:18,2.037,0.005,"0,0,0,0",v
2015-09-16 04:24,2.04,0.01,"0,0,0,0",v
2015-09-16 04:30,2.066,0.005,"0,0,0,0",v
2015-09-16 04:36,2.07,0.006,"0,0,0,0",v
2015-09-16 04:42,2.081,0.007,"0,0,0,0",v
2015-09-16 04:48,2.088,0.009,"0,0,0,0",v
2015-09-16 04:54,2.094,0.008,"0,0,0,0",v
2015-09-16 05:00,2.109,0.008,"0,0,0,0",v
2015-09-16 05:06,2.113,0.006,"0,0,0,0",v
2015-09-16 05:12,2.13,0.008,"0,0,0,0",v
2015-09-16 05:18,2.12,0.007,"0,0,0,0",v
2015-09-16 05:24,2.133,0.007,"0,0,0,0",v
2015-09-16 05:30,2.107,0.006,"0,0,0,0",v
2015-09-16 05:36,2.124,0.007,"0,0,0,0",v
2015-09-16 05:42,2.108,0.007,"0,0,0,0",v
2015-09-16 05:48,2.12,0.004,"0,0,0,0",v
2015-09-16 05:54,2.119,0.01,"0,0,0,0",v
2015-09-16 06:00,2.119,0.007,"0,0,0,0",v
2015-09-16 06:06,2.1,0.007,"0,0,0,0",v
2015-09-16 06:12,2.093,0.009,"0,0,0,0",v
2015-09-16 06:18,2.073,0.005,"0,0,0,0",v
2015-09-16 06:24,2.074,0.005,"0,0,0,0",v
2015-09-16 06:30,2.05,0.008,"0,0,0,0",v
2015-09-16 06:36,2.045,0.009,"0,0,0,0",v
2015-09-16 06:42,2.032,0.006,"0,0,0,0",v
2015-09-16 06:48,2.014,0.006,"0,0,0,0",v
2015-09-16 06:54,2.006,0.007,"0,0,0,0",v
2015-09-16 07:00,1.986,0.005,"0,0,0,0",v
2015-09-16 07:06,1.97,0.008,"0,0,0,0",v
2015-09-16 07:12,1.945,0.006,"0,0,0,0",v
2015-09-16 07:18,1.941,0.007,"0,0,0,0",v
2015-09-16 07:24,1.912,0.005,"0,0,0,0",v
2015-09-16 07:30,1.903,0.007,"0,0,0,0",v
