t,v,s,f,q
2015-09-16 10:36,1.284,0.018,"0,0,0,0",v
2015-09-16 10:42,1.287,0.016,"0,0,0,0",v
2015-09-16 10:48,1.284,0.017,"0,0,0,0",v
2015-09-16 10:54,1.296,0.017,"0,0,0,0",v
2015-09-16 11:00,1.308,0.019,"0,0,0,0",v
2015-09-16 11:06,1.308,0.017,"0,0,0,0",v
2015-09-16 11:12,1.322,0.02,"0,0,0,0",v
2015-09-16 11:18,1.326,0.018,"0,0,0,0",v
2015-09-16 11:24,1.341,0.02,"0,0,0,0",v
2015-09-16 11:30,1.35,0.023,"0,0,0,0",v
2015-09-16 11:36,1.362,0.015,"0,0,0,0",v
2015-09-16 11:42,1.363,0.019,"0,0,0,0",v
2015-09-16 11:48,1.375,0.018,"0,0,0,0",v
2015-09-16 11:54,1.383,0.016,"0,0,0,0",v
2015-09-16 12:00,1.4,0.024,"0,0,0,0",v
2015-09-16 12:06,1.418,0.018,"0,0,0,0",v
2015-09-16 12:12,1.415,0.014,"0,0,0,0",v
2015-09-16 12:18,1.439,0.016,"0,0,0,0",v
2015-09-16 12:24,1.455,0.025,"0,0,0,0",v
2015-09-16 12:30,1.461,0.024,"0,0,0,0",v
2015-09-16 12:36,1.471,0.015,"0,0,0,0",v
2015-09-16 12:42,1.472,0.016,"0,0,0,0",v
2015-09-16 12:48,1.494,0.017,"0,0,0,0",v
2015-09-16 12:54,1.507,0.015,"0,0,0,0",v
2015-09-16 13:00,1.507,0.016,"0,0,0,0",v
2015-09-16 13:06,1.521,0.018,"0,0,0,0",v
2015-09-16 13:12,1.533,0.027,"0,0,0,0",v
2015-09-16 13:18,1.541,0.02,"0,0,0,0",v
2015-09-16 13:24,1.541,0.014,"0,0,0,0",v
2015-09-16 13:30,1.554,0.015,"0,0,0,0",v
2015-09-16 13:36,1.544,0.014,"0,0,0,0",v
2015-09-16 13:42,1.558,0.02,"0,0,0,0",v
2015-09-16 13:48,1.561,0.02,"0,0,0,0",v
2015-09-16 13:54,1.564,0.016,"0,0,0,0",v
2015-09-16 14:00,1.571,0.016,"0,0,0,0",v
2015-09-16 14:06,1.571,0.02,"0,0,0,0",v
2015-09-16 14:12,1.578,0.015,"0,0,0,0",v
2015-09-16 14:18,1.585,0.015,"0,0,0,0",v
2015-09-16 14:24,1.587,0.018,"0,0,0,0",v
2015-09-16 14:30,1.591,0.02,"0,0,0,0",v
2015-09-16 14:36,1.585,0.015,"0,0,0,0",v
2015-09-16 14:42,1.59,0.015,"0,0,0,0",v
2015-09-16 14:48,1.595,0.018,"0,0,0,0",v
2015-09-16 14:54,1.603,0.017,"0,0,0,0",v
2015-09-16 15:00,1.603,0.017,"0,0,0,0",v
2015-09-16 15:06,1.616,0.021,"0,0,0,0",v
2015-09-16 15:12,1.615,0.015,"0,0,0,0",v
2015-09-16 15:18,1.611,0.015,"0,0,0,0",v
2015-09-16 15:24,1.608,0.015,"0,0,0,0",v
2015-09-16 15:30,1.621,0.02,"0,0,0,0",v
2015-09-16 15:36,1.62,0.016,"0,0,0,0",v
2015-09-16 15:42,1.625,0.017,"0,0,0,0",v
2015-09-16 15:48,1.626,0.017,"0,0,0,0",v
2015-09-16 15:54,1.634,0.017,"0,0,0,0",v
2015-09-16 16:00,1.636,0.014,"0,0,0,0",v
2015-09-16 16:06,1.625,0.016,"0,0,0,0",v
2015-09-16 16:12,1.646,0.016,"0,0,0,0",v
2015-09-16 16:18,1.634,0.016,"0,0,0,0",v
2015-09-16 16:24,1.633,0.012,"0,0,0,0",v
2015-09-16 16:30,1.649,0.013,"0,0,0,0",v
2015-09-16 16:36,1.654,0.013,"0,0,0,0",v
2015-09-16 16:42,1.655,0.013,"0,0,0,0",v
2015-09-16 16:48,1.658,0.017,"0,0,0,0",v
2015-09-16 16:54,1.648,0.012,"0,0,0,0",v
2015-09-16 17:00,1.648,0.013,"0,0,0,0",v
2015-09-16 17:06,1.642,0.013,"0,0,0,0",v
2015-09-16 17:12,1.641,0.014,"0,0,0,0",v
2015-09-16 17:18,1.641,0.014,"0,0,0,0",v
2015-09-16 17:24,1.633,0.016,"0,0,0,0",v
2015-09-16 17:30,1.635,0.014,"0,0,0,0",v
2015-09-16 17:36,1.622,0.013,"0,0,0,0",v
2015-09-16 17:42,1.608,0.014,"0,0,0,0",v
2015-09-16 17:48,1.601,0.012,"0,0,0,0",v
2015-09-16 17:54,1.608,0.01,"0,0,0,0",v
2015-09-16 18:00,1.587,0.019,"0,0,0,0",v
2015-09-16 18:06,1.581,0.012,"0,0,0,0",v
2015-09-16 18:12,1.573,0.013,"0,0,0,0",v
2015-09-16 18:18,1.563,0.014,"0,0,0,0",v
2015-09-16 18:24,1.549,0.013,"0,0,0,0",v
2015-09-16 18:30,1.543,0.01,"0,0,0,0",v
2015-09-16 18:36,1.53,0.016,"0,0,0,0",v
2015-09-16 18:42,1.522,0.011,"0,0,0,0",v
2015-09-16 18:48,1.511,0.012,"0,0,0,0",v
2015-09-16 18:54,1.504,0.014,"0,0,0,0",v
2015-09-16 19:00,1.504,0.011,"0,0,0,0",v
2015-09-16 19:06,1.503,0.017,"0,0,0,0",v
2015-09-16 19:12,1.489,0.014,"0,0,0,0",v
2015-09-16 19:18,1.475,0.014,"0,0,0,0",v
2015-09-16 19:24,1.467,0.017,"0,0,0,0",v
2015-09-16 19:30,1.458,0.018,"0,0,0,0",v
2015-09-16 19:36,1.45,0.014,"0,0,0,0",v
2015-09-16 19:42,1.449,0.016,"0,0,0,0",v
2015-09-16 19:48,1.443,0.015,"0,0,0,0",v
2015-09-16 19:54,1.432,0.017,"0,0,0,0",v
2015-09-16 20:00,1.429,0.013,"0,0,0,0",v
2015-09-16 20:06,1.419,0.013,"0,0,0,0",v
2015-09-16 20:12,1.42,0.012,"0,0,0,0",v
2015-09-16 20:18,1.41,0.009,"0,0,0,0",v
2015-09-16 20:24,1.407,0.012,"0,0,0,0",v
2015-09-16 20:30,1.392,0.014,"0,0,0,0",v
2015-09-16 20:36,1.401,0.012,"0,0,0,0",v
2015-09-16 20:42,1.397,0.013,"0,0,0,0",v
2015-09-16 20:48,1.373,0.013,"0,0,0,0",v
2015-09-16 20:54,1.372,0.013,"0,0,0,0",v
2015-09-16 21:00,1.377,0.012,"0,0,0,0",v
2015-09-16 21:06,1.381,0.012,"0,0,0,0",v
2015-09-16 21:12,1.365,0.013,"0,0,0,0",v
2015-09-16 21:18,1.368,0.011,"0,0,0,0",v
2015-09-16 21:24,1.366,0.014,"0,0,0,0",v
2015-09-16 21:30,1.366,0.013,"0,0,0,0",v
2015-09-16 21:36,1.361,0.014,"0,0,0,0",v
2015-09-16 21:42,1.357,0.011,"0,0,0,0",v
2015-09-16 21:48,1.353,0.013,"0,0,0,0",v
2015-09-16 21:54,1.362,0.014,"0,0,0,0",v
2015-09-16 22:00,1.354,0.015,"0,0,0,0",v
2015-09-16 22:06,1.352,0.013,"0,0,0,0",v
2015-09-16 22:12,1.357,0.012,"0,0,0,0",v
2015-09-16 22:18,1.354,0.014,"0,0,0,0",v
2015-09-16 22:24,1.354,0.012,"0,0,0,0",v
2015-09-16 22:30,1.365,0.014,"0,0,0,0",v
2015-09-16 22:36,1.359,0.016,"0,0,0,0",v
2015-09-16 22:42,1.372,0.014,"0,0,0,0",v
2015-09-16 22:48,1.37,0.014,"0,0,0,0",v
2015-09-16 22:54,1.379,0.012,"0,0,0,0",v
2015-09-16 23:00,1.389,0.013,"0,0,0,0",v
2015-09-16 23:06,1.389,0.016,"0,0,0,0",v
2015-09-16 23:12,1.394,0.012,"0,0,0,0",v
2015-09-16 23:18,1.408,0.013,"0,0,0,0",v
2015-09-16 23:24,1.429,0.014,"0,0,0,0",v
2015-09-16 23:30,1.421,0.014,"0,0,0,0",v
2015-09-16 23:36,1.412,0.012,"0,0,0,0",v
2015-09-16 23:42,1.418,0.015,"0,0,0,0",v
2015-09-16 23:48,1.429,0.01,"0,0,0,0",v
2015-09-16 23:54,1.423,0.016,"0,0,0,0",v
2015-09-17 00:00,1.42,0.012,"0,0,0,0",v
2015-09-17 00:06,1.422,0.017,"0,0,0,0",v
2015-09-17 00:12,1.437,0.013,"0,0,0,0",v
2015-09-17 00:18,1.443,0.014,"0,0,0,0",v
2015-09-17 00:24,1.439,0.012,"0,0,0,0",v
2015-09-17 00:30,1.441,0.014,"0,0,0,0",v
2015-09-17 00:36,1.453,0.014,"0,0,0,0",v
2015-09-17 00:42,1.452,0.01,"0,0,0,0",v
2015-09-17 00:48,1.448,0.014,"0,0,0,0",v
2015-09-17 00:54,1.466,0.012,"0,0,0,0",v
2015-09-17 01:00,1.467,0.012,"0,0,0,0",v
2015-09-17 01:06,1.472,0.013,"0,0,0,0",v
2015-09-17 01:12,1.483,0.014,"0,0,0,0",v
2015-09-17 01:18,1.488,0.013,"0,0,0,0",v
2015-09-17 01:24,1.489,0.016,"0,0,0,0",v
2015-09-17 01:30,1.494,0.012,"0,0,0,0",v
2015-09-17 01:36,1.499,0.012,"0,0,0,0",v
2015-09-17 01:42,1.502,0.013,"0,0,0,0",v
2015-09-17 01:48,1.514,0.011,"0,0,0,0",v
2015-09-17 01:54,1.514,0.013,"0,0,0,0",v
2015-09-17 02:00,1.508,0.013,"0,0,0,0",v
2015-09-17 02:06,1.523,0.015,"0,0,0,0",v
2015-09-17 02:12,1.534,0.012,"0,0,0,0",v
2015-09-17 02:18,1.52,0.017,"0,0,0,0",v
2015-09-17 02:24,1.521,0.015,"0,0,0,0",v
2015-09-17 02:30,1.526,0.015,"0,0,0,0",v
2015-09-17 02:36,1.522,0.013,"0,0,0,0",v
2015-09-17 02:42,1.519,0.013,"0,0,0,0",v
2015-09-17 02:48,1.522,0.013,"0,0,0,0",v
2015-09-17 02:54,1.521,0.012,"0,0,0,0",v
2015-09-17 03:00,1.524,0.014,"0,0,0,0",v
2015-09-17 03:06,1.529,0.012,"0,0,0,0",v
2015-09-17 03:12,1.531,0.014,"0,0,0,0",v
2015-09-17 03:18,1.534,0.014,"0,0,0,0",v
2015-09-17 03:24,1.535,0.011,"0,0,0,0",v
2015-09-17 03:30,1.531,0.014,"0,0,0,0",v
2015-09-17 03:36,1.528,0.014,"0,0,0,0",v
2015-09-17 03:42,1.526,0.014,"0,0,0,0",v
2015-09-17 03:48,1.527,0.013,"0,0,0,0",v
2015-09-17 03:54,1.543,0.013,"0,0,0,0",v
2015-09-17 04:00,1.527,0.017,"0,0,0,0",v
2015-09-17 04:06,1.532,0.016,"0,0,0,0",v
2015-09-17 04:12,1.532,0.014,"0,0,0,0",v
2015-09-17 04:18,1.529,0.015,"0,0,0,0",v
2015-09-17 04:24,1.515,0.014,"0,0,0,0",v
2015-09-17 04:30,1.534,0.014,"0,0,0,0",v
2015-09-17 04:36,1.526,0.015,"0,0,0,0",v
2015-09-17 04:42,1.524,0.013,"0,0,0,0",v
2015-09-17 04:48,1.517,0.012,"0,0,0,0",v
2015-09-17 04:54,1.508,0.011,"0,0,0,0",v
2015-09-17 05:00,1.496,0.011,"0,0,0,0",v
2015-09-17 05:06,1.489,0.012,"0,0,0,0",v
2015-09-17 05:12,1.477,0.011,"0,0,0,0",v
2015-09-17 05:18,1.478,0.011,"0,0,0,0",v
2015-09-17 05:24,1.47,0.016,"0,0,0,0",v
2015-09-17 05:30,1.458,0.011,"0,0,0,0",v
2015-09-17 05:36,1.443,0.011,"0,0,0,0",v
2015-09-17 05:42,1.44,0.011,"0,0,0,0",v
2015-09-17 05:48,1.423,0.011,"0,0,0,0",v
2015-09-17 05:54,1.423,0.012,"0,0,0,0",v
2015-09-17 06:00,1.414,0.012,"0,0,0,0",v
2015-09-17 06:06,1.406,0.016,"0,0,0,0",v
2015-09-17 06:12,1.402,0.012,"0,0,0,0",v
2015-09-17 06:18,1.381,0.013,"0,0,0,0",v
2015-09-17 06:24,1.373,0.014,"0,0,0,0",v
2015-09-17 06:30,1.367,0.013,"0,0,0,0",v
2015-09-17 06:36,1.354,0.013,"0,0,0,0",v
2015-09-17 06:42,1.344,0.013,"0,0,0,0",v
2015-09-17 06:48,1.337,0.013,"0,0,0,0",v
2015-09-17 06:54,1.343,0.014,"0,0,0,0",v
2015-09-17 07:00,1.34,0.014,"0,0,0,0",v
2015-09-17 07:06,1.323,0.012,"0,0,0,0",v
2015-09-17 07:12,1.312,0.013,"0,0,0,0",v
2015-09-17 07:18,1.317,0.011,"0,0,0,0",v
2015-09-17 07:24,1.305,0.013,"0,0,0,0",v
2015-09-17 07:30,1.296,0.013,"0,0,0,0",v
2015-09-17 07:36,1.293,0.011,"0,0,0,0",v
2015-09-17 07:42,1.288,0.01,"0,0,0,0",v
2015-09-17 07:48,1.282,0.011,"0,0,0,0",v
2015-09-17 07:54,1.267,0.012,"0,0,0,0",v
2015-09-17 08:00,1.264,0.015,"0,0,0,0",v
2015-09-17 08:06,1.256,0.014,"0,0,0,0",v
2015-09-17 08:12,1.258,0.015,"0,0,0,0",v
2015-09-17 08:18,1.248,0.015,"0,0,0,0",v
2015-09-17 08:24,1.241,0.013,"0,0,0,0",v
