#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2015 08 16 23 00 00 1 5570.772
2015 08 16 23 15 00 1 5570.717
2015 08 16 23 30 00 1 5570.666
2015 08 16 23 45 00 1 5570.612
2015 08 17 00 00 00 1 5570.556
2015 08 17 00 15 00 1 5570.505
2015 08 17 00 30 00 1 5570.452
2015 08 17 00 45 00 1 5570.404
2015 08 17 01 00 00 1 5570.359
2015 08 17 01 15 00 1 5570.324
2015 08 17 01 30 00 1 5570.285
2015 08 17 01 45 00 1 5570.257
2015 08 17 02 00 00 1 5570.233
2015 08 17 02 15 00 1 5570.214
2015 08 17 02 30 00 1 5570.203
2015 08 17 02 45 00 1 5570.200
2015 08 17 03 00 00 1 5570.202
2015 08 17 03 15 00 1 5570.209
2015 08 17 03 30 00 1 5570.225
2015 08 17 03 45 00 1 5570.246
2015 08 17 04 00 00 1 5570.273
2015 08 17 04 15 00 1 5570.305
2015 08 17 04 30 00 1 5570.346
2015 08 17 04 45 00 1 5570.388
2015 08 17 05 00 00 1 5570.434
2015 08 17 05 15 00 1 5570.486
2015 08 17 05 30 00 1 5570.539
2015 08 17 05 45 00 1 5570.593
2015 08 17 06 00 00 1 5570.650
2015 08 17 06 15 00 1 5570.703
2015 08 17 06 30 00 1 5570.758
2015 08 17 06 45 00 1 5570.810
2015 08 17 07 00 00 1 5570.857
2015 08 17 07 15 00 1 5570.898
2015 08 17 07 30 00 1 5570.937
2015 08 17 07 45 00 1 5570.973
2015 08 17 08 00 00 1 5571.000
2015 08 17 08 15 00 1 5571.020
2015 08 17 08 30 00 1 5571.034
2015 08 17 08 45 00 1 5571.043
2015 08 17 09 00 00 1 5571.049
2015 08 17 09 15 00 1 5571.045
2015 08 17 09 30 00 1 5571.034
2015 08 17 09 45 00 1 5571.019
2015 08 17 10 00 00 1 5570.991
2015 08 17 10 15 00 1 5570.966
2015 08 17 10 30 00 1 5570.932
2015 08 17 10 45 00 1 5570.898
2015 08 17 11 00 00 1 5570.857
2015 08 17 11 15 00 1 5570.813
2015 08 17 11 30 00 1 5570.767
2015 08 17 11 45 00 1 5570.718
2015 08 17 12 00 00 1 5570.665
2015 08 17 12 15 00 1 5570.613
2015 08 17 12 30 00 1 5570.565
2015 08 17 12 45 00 1 5570.519
2015 08 17 13 00 00 1 5570.470
2015 08 17 13 15 00 1 5570.428
2015 08 17 13 30 00 1 5570.388
2015 08 17 13 45 00 1 5570.353
2015 08 17 14 00 00 1 5570.321
2015 08 17 14 15 00 1 5570.292
2015 08 17 14 30 00 1 5570.271
2015 08 17 14 45 00 1 5570.257
2015 08 17 15 00 00 1 5570.247
2015 08 17 15 15 00 1 5570.247
2015 08 17 15 30 00 1 5570.255
2015 08 17 15 45 00 1 5570.265
2015 08 17 16 00 00 1 5570.285
2015 08 17 16 15 00 1 5570.309
2015 08 17 16 30 00 1 5570.340
2015 08 17 16 45 00 1 5570.378
2015 08 17 17 00 00 1 5570.420
2015 08 17 17 15 00 1 5570.468
2015 08 17 17 30 00 1 5570.514
2015 08 17 17 45 00 1 5570.567
2015 08 17 18 00 00 1 5570.620
2015 08 17 18 15 00 1 5570.673
2015 08 17 18 30 00 1 5570.725
2015 08 17 18 45 00 1 5570.776
2015 08 17 19 00 00 1 5570.829
2015 08 17 19 15 00 1 5570.876
2015 08 17 19 30 00 1 5570.921
2015 08 17 19 45 00 1 5570.960
2015 08 17 20 00 00 1 5570.998
2015 08 17 20 15 00 1 5571.030
2015 08 17 20 30 00 1 5571.056
2015 08 17 20 45 00 1 5571.075
2015 08 17 21 00 00 1 5571.080
2015 08 17 21 15 00 1 5571.085
2015 08 17 21 30 00 1 5571.078
