t,v,s,f,q
2014-04-01 00:00,1.455,0.012,"0,0,0,0",v
2014-04-01 00:06,1.476,0.011,"0,0,0,0",v
2014-04-01 00:12,1.494,0.012,"0,0,0,0",v
2014-04-01 00:18,1.504,0.014,"0,0,0,0",v
2014-04-01 00:24,1.518,0.013,"0,0,0,0",v
2014-04-01 00:30,1.535,0.013,"0,0,0,0",v
2014-04-01 00:36,1.54,0.013,"0,0,0,0",v
2014-04-01 00:42,1.559,0.012,"0,0,0,0",v
2014-04-01 00:48,1.58,0.014,"0,0,0,0",v
2014-04-01 00:54,1.585,0.014,"0,0,0,0",v
2014-04-01 01:00,1.609,0.013,"0,0,0,0",v
2014-04-01 01:06,1.622,0.015,"0,0,0,0",v
2014-04-01 01:12,1.637,0.011,"0,0,0,0",v
2014-04-01 01:18,1.65,0.012,"0,0,0,0",v
2014-04-01 01:24,1.659,0.013,"0,0,0,0",v
2014-04-01 01:30,1.669,0.012,"0,0,0,0",v
2014-04-01 01:36,1.689,0.014,"0,0,0,0",v
2014-04-01 01:42,1.695,0.015,"0,0,0,0",v
2014-04-01 01:48,1.701,0.013,"0,0,0,0",v
2014-04-01 01:54,1.709,0.011,"0,0,0,0",v
2014-04-01 02:00,1.721,0.013,"0,0,0,0",v
2014-04-01 02:06,1.732,0.016,"0,0,0,0",v
2014-04-01 02:12,1.731,0.016,"0,0,0,0",v
2014-04-01 02:18,1.737,0.015,"0,0,0,0",v
2014-04-01 02:24,1.752,0.016,"0,0,0,0",v
2014-04-01 02:30,1.748,0.016,"0,0,0,0",v
2014-04-01 02:36,1.756,0.014,"0,0,0,0",v
2014-04-01 02:42,1.759,0.015,"0,0,0,0",v
2014-04-01 02:48,1.76,0.015,"0,0,0,0",v
2014-04-01 02:54,1.758,0.015,"0,0,0,0",v
2014-04-01 03:00,1.759,0.014,"0,0,0,0",v
2014-04-01 03:06,1.769,0.017,"0,0,0,0",v
2014-04-01 03:12,1.752,0.016,"0,0,0,0",v
2014-04-01 03:18,1.742,0.014,"0,0,0,0",v
2014-04-01 03:24,1.751,0.013,"0,0,0,0",v
2014-04-01 03:30,1.74,0.014,"0,0,0,0",v
2014-04-01 03:36,1.734,0.013,"0,0,0,0",v
2014-04-01 03:42,1.734,0.018,"0,0,0,0",v
2014-04-01 03:48,1.729,0.014,"0,0,0,0",v
2014-04-01 03:54,1.73,0.013,"0,0,0,0",v
2014-04-01 04:00,1.716,0.017,"0,0,0,0",v
2014-04-01 04:06,1.714,0.011,"0,0,0,0",v
2014-04-01 04:12,1.703,0.012,"0,0,0,0",v
2014-04-01 04:18,1.699,0.013,"0,0,0,0",v
2014-04-01 04:24,1.701,0.016,"0,0,0,0",v
2014-04-01 04:30,1.679,0.022,"0,0,0,0",v
2014-04-01 04:36,1.68,0.015,"0,0,0,0",v
2014-04-01 04:42,1.672,0.016,"0,0,0,0",v
2014-04-01 04:48,1.664,0.019,"0,0,0,0",v
2014-04-01 04:54,1.652,0.017,"0,0,0,0",v
2014-04-01 05:00,1.647,0.014,"0,0,0,0",v
2014-04-01 05:06,1.636,0.013,"0,0,0,0",v
2014-04-01 05:12,1.625,0.013,"0,0,0,0",v
2014-04-01 05:18,1.605,0.013,"0,0,0,0",v
2014-04-01 05:24,1.596,0.016,"0,0,0,0",v
2014-04-01 05:30,1.583,0.013,"0,0,0,0",v
2014-04-01 05:36,1.568,0.014,"0,0,0,0",v
2014-04-01 05:42,1.553,0.012,"0,0,0,0",v
2014-04-01 05:48,1.545,0.014,"0,0,0,0",v
2014-04-01 05:54,1.534,0.016,"0,0,0,0",v
2014-04-01 06:00,1.515,0.012,"0,0,0,0",v
2014-04-01 06:06,1.506,0.014,"0,0,0,0",v
2014-04-01 06:12,1.492,0.012,"0,0,0,0",v
2014-04-01 06:18,1.484,0.01,"0,0,0,0",v
2014-04-01 06:24,1.465,0.015,"0,0,0,0",v
2014-04-01 06:30,1.456,0.011,"0,0,0,0",v
2014-04-01 06:36,1.442,0.01,"0,0,0,0",v
2014-04-01 06:42,1.432,0.012,"0,0,0,0",v
2014-04-01 06:48,1.403,0.013,"0,0,0,0",v
2014-04-01 06:54,1.399,0.013,"0,0,0,0",v
2014-04-01 07:00,1.387,0.016,"0,0,0,0",v
2014-04-01 07:06,1.372,0.012,"0,0,0,0",v
2014-04-01 07:12,1.364,0.012,"0,0,0,0",v
2014-04-01 07:18,1.358,0.012,"0,0,0,0",v
2014-04-01 07:24,1.345,0.012,"0,0,0,0",v
2014-04-01 07:30,1.324,0.01,"0,0,0,0",v
2014-04-01 07:36,1.319,0.014,"0,0,0,0",v
2014-04-01 07:42,1.303,0.0,"1,0,0,0",v
2014-04-01 07:48,1.293,0.0,"1,0,0,0",v
2014-04-01 07:54,1.285,0.0,"1,0,0,0",v
2014-04-01 08:00,1.282,0.0,"0,0,0,0",v
2014-04-01 08:06,1.27,0.011,"0,0,0,0",v
2014-04-01 08:12,1.274,0.013,"0,0,0,0",v
2014-04-01 08:18,1.266,0.011,"0,0,0,0",v
2014-04-01 08:24,1.253,0.011,"0,0,0,0",v
2014-04-01 08:30,1.248,0.0,"0,0,0,0",v
2014-04-01 08:36,1.253,0.01,"0,0,0,0",v
2014-04-01 08:42,1.245,0.01,"0,0,0,0",v
2014-04-01 08:48,1.238,0.01,"0,0,0,0",v
2014-04-01 08:54,1.228,0.01,"0,0,0,0",v
2014-04-01 09:00,1.222,0.013,"0,0,0,0",v
2014-04-01 09:06,1.222,0.012,"0,0,0,0",v
2014-04-01 09:12,1.217,0.011,"0,0,0,0",v
2014-04-01 09:18,1.212,0.012,"0,0,0,0",v
2014-04-01 09:24,1.214,0.011,"0,0,0,0",v
2014-04-01 09:30,1.214,0.011,"0,0,0,0",v
2014-04-01 09:36,1.214,0.011,"0,0,0,0",v
2014-04-01 09:42,1.216,0.011,"0,0,0,0",v
2014-04-01 09:48,1.215,0.013,"0,0,0,0",v
2014-04-01 09:54,1.212,0.012,"0,0,0,0",v
2014-04-01 10:00,1.213,0.011,"0,0,0,0",v
2014-04-01 10:06,1.219,0.01,"0,0,0,0",v
2014-04-01 10:12,1.212,0.009,"0,0,0,0",v
2014-04-01 10:18,1.226,0.011,"0,0,0,0",v
2014-04-01 10:24,1.231,0.011,"0,0,0,0",v
