t,v,s,f,q
2010-02-27 00:00,1.37,0.019,"0,0,0,0",v
2010-02-27 00:06,1.374,0.017,"0,0,0,0",v
2010-02-27 00:12,1.371,0.022,"0,0,0,0",v
2010-02-27 00:18,1.374,0.023,"0,0,0,0",v
2010-02-27 00:24,1.378,0.026,"0,0,0,0",v
2010-02-27 00:30,1.367,0.024,"0,0,0,0",v
2010-02-27 00:36,1.37,0.021,"0,0,0,0",v
2010-02-27 00:42,1.383,0.026,"0,0,0,0",v
2010-02-27 00:48,1.386,0.0,"1,0,0,0",v
2010-02-27 00:54,1.389,0.0,"0,0,0,0",v
2010-02-27 01:00,1.379,0.02,"0,0,0,0",v
2010-02-27 01:06,1.371,0.022,"0,0,0,0",v
2010-02-27 01:12,1.356,0.016,"0,0,0,0",v
2010-02-27 01:18,1.35,0.019,"0,0,0,0",v
2010-02-27 01:24,1.354,0.016,"0,0,0,0",v
2010-02-27 01:30,1.345,0.019,"0,0,0,0",v
2010-02-27 01:36,1.34,0.021,"0,0,0,0",v
2010-02-27 01:42,1.316,0.021,"0,0,0,0",v
2010-02-27 01:48,1.332,0.0,"0,0,0,0",v
2010-02-27 01:54,1.341,0.023,"0,0,0,0",v
2010-02-27 02:00,1.305,0.026,"0,0,0,0",v
2010-02-27 02:06,1.307,0.027,"0,0,0,0",v
2010-02-27 02:12,1.311,0.024,"0,0,0,0",v
2010-02-27 02:18,1.301,0.024,"0,0,0,0",v
2010-02-27 02:24,1.296,0.022,"0,0,0,0",v
2010-02-27 02:30,1.292,0.026,"0,0,0,0",v
2010-02-27 02:36,1.287,0.021,"0,0,0,0",v
2010-02-27 02:42,1.282,0.0,"0,0,0,0",v
2010-02-27 02:48,1.275,0.021,"0,0,0,0",v
2010-02-27 02:54,1.255,0.022,"0,0,0,0",v
2010-02-27 03:00,1.258,0.02,"0,0,0,0",v
2010-02-27 03:06,1.242,0.018,"0,0,0,0",v
2010-02-27 03:12,1.239,0.017,"0,0,0,0",v
2010-02-27 03:18,1.227,0.016,"0,0,0,0",v
