#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2010 01 27 06 45 00 1 4325.489
2010 01 27 07 00 00 1 4325.488
2010 01 27 07 15 00 1 4325.487
2010 01 27 07 30 00 1 4325.482
2010 01 27 07 45 00 1 4325.479
2010 01 27 08 00 00 1 4325.475
2010 01 27 08 15 00 1 4325.466
2010 01 27 08 30 00 1 4325.458
2010 01 27 08 45 00 1 4325.447
2010 01 27 09 00 00 1 4325.434
2010 01 27 09 15 00 1 4325.417
2010 01 27 09 30 00 1 4325.403
2010 01 27 09 45 00 1 4325.385
2010 01 27 10 00 00 1 4325.365
2010 01 27 10 15 00 1 4325.346
2010 01 27 10 30 00 1 4325.325
2010 01 27 10 45 00 1 4325.307
2010 01 27 11 00 00 1 4325.287
2010 01 27 11 15 00 1 4325.267
2010 01 27 11 30 00 1 4325.247
2010 01 27 11 45 00 1 4325.231
2010 01 27 12 00 00 1 4325.213
2010 01 27 12 15 00 1 4325.197
2010 01 27 12 30 00 1 4325.184
2010 01 27 12 45 00 1 4325.171
2010 01 27 13 00 00 1 4325.164
2010 01 27 13 15 00 1 4325.161
2010 01 27 13 30 00 1 4325.156
2010 01 27 13 45 00 1 4325.158
2010 01 27 14 00 00 1 4325.161
2010 01 27 14 15 00 1 4325.166
2010 01 27 14 30 00 1 4325.174
2010 01 27 14 45 00 1 4325.192
2010 01 27 15 00 00 1 4325.207
2010 01 27 15 15 00 1 4325.221
2010 01 27 15 30 00 1 4325.244
2010 01 27 15 45 00 1 4325.266
2010 01 27 16 00 00 1 4325.293
2010 01 27 16 15 00 1 4325.325
2010 01 27 16 30 00 1 4325.356
2010 01 27 16 45 00 1 4325.390
2010 01 27 17 00 00 1 4325.423
2010 01 27 17 15 00 1 4325.463
2010 01 27 17 30 00 1 4325.498
2010 01 27 17 45 00 1 4325.537
2010 01 27 18 00 00 1 4325.579
2010 01 27 18 15 00 1 4325.614
2010 01 27 18 30 00 1 4325.650
2010 01 27 18 45 00 1 4325.682
2010 01 27 19 00 00 1 4325.713
2010 01 27 19 15 00 1 4325.743
2010 01 27 19 30 00 1 4325.768
2010 01 27 19 45 00 1 4325.796
2010 01 27 20 00 00 1 4325.814
2010 01 27 20 15 00 1 4325.831
2010 01 27 20 30 00 1 4325.842
2010 01 27 20 45 00 1 4325.850
2010 01 27 21 00 00 1 4325.855
2010 01 27 21 15 00 1 4325.856
2010 01 27 21 30 00 1 4325.854
2010 01 27 21 45 00 1 4325.850
2010 01 27 22 00 00 1 4325.842
2010 01 27 22 15 00 1 4325.829
2010 01 27 22 30 00 1 4325.814
2010 01 27 22 45 00 1 4325.794
2010 01 27 23 00 00 1 4325.774
2010 01 27 23 15 00 1 4325.752
2010 01 27 23 30 00 1 4325.727
2010 01 27 23 45 00 1 4325.702
2010 01 28 00 00 00 1 4325.676
2010 01 28 00 15 00 1 4325.653
2010 01 28 00 30 00 1 4325.625
2010 01 28 00 45 00 1 4325.598
2010 01 28 01 00 00 1 4325.573
2010 01 28 01 15 00 1 4325.550
2010 01 28 01 30 00 1 4325.526
2010 01 28 01 45 00 1 4325.502
2010 01 28 02 00 00 1 4325.480
2010 01 28 02 15 00 1 4325.459
2010 01 28 02 30 00 1 4325.444
2010 01 28 02 45 00 1 4325.427
2010 01 28 03 00 00 1 4325.413
2010 01 28 03 15 00 1 4325.401
2010 01 28 03 30 00 1 4325.394
2010 01 28 03 45 00 1 4325.389
2010 01 28 04 00 00 1 4325.385
2010 01 28 04 15 00 1 4325.387
2010 01 28 04 30 00 1 4325.390
2010 01 28 04 45 00 1 4325.392
2010 01 28 05 00 00 1 4325.398
2010 01 28 05 15 00 1 4325.404
2010 01 28 05 30 00 1 4325.414
2010 01 28 05 45 00 1 4325.424
2010 01 28 06 00 00 1 4325.437
2010 01 28 06 15 00 1 4325.447
2010 01 28 06 30 00 1 4325.458
2010 01 28 06 45 00 1 4325.469
2010 01 28 07 00 00 1 4325.477
2010 01 28 07 15 00 1 4325.483
2010 01 28 07 30 00 1 4325.486
2010 01 28 07 45 00 1 4325.489
2010 01 28 08 00 00 1 4325.489
2010 01 28 08 15 00 1 4325.491
2010 01 28 08 30 00 1 4325.487
2010 01 28 08 45 00 1 4325.483
2010 01 28 09 00 00 1 4325.479
2010 01 28 09 15 00 1 4325.471
2010 01 28 09 30 00 1 4325.457
2010 01 28 09 45 00 1 4325.443
2010 01 28 10 00 00 1 4325.427
2010 01 28 10 15 00 1 4325.410
2010 01 28 10 30 00 1 4325.392
2010 01 28 10 45 00 1 4325.369
2010 01 28 11 00 00 1 4325.347
2010 01 28 11 15 00 1 4325.326
2010 01 28 11 30 00 1 4325.302
2010 01 28 11 45 00 1 4325.276
2010 01 28 12 00 00 1 4325.254
2010 01 28 12 15 00 1 4325.229
2010 01 28 12 30 00 1 4325.208
2010 01 28 12 45 00 1 4325.186
2010 01 28 13 00 00 1 4325.170
2010 01 28 13 15 00 1 4325.154
2010 01 28 13 30 00 1 4325.140
2010 01 28 13 45 00 1 4325.130
2010 01 28 14 00 00 1 4325.121
2010 01 28 14 15 00 1 4325.117
2010 01 28 14 30 00 1 4325.117
2010 01 28 14 45 00 1 4325.122
2010 01 28 15 00 00 1 4325.131
2010 01 28 15 15 00 1 4325.138
2010 01 28 15 30 00 1 4325.149
2010 01 28 15 45 00 1 4325.166
2010 01 28 16 00 00 1 4325.188
2010 01 28 16 15 00 1 4325.213
2010 01 28 16 30 00 1 4325.244
2010 01 28 16 45 00 1 4325.276
2010 01 28 17 00 00 1 4325.311
2010 01 28 17 15 00 1 4325.346
2010 01 28 17 30 00 1 4325.389
2010 01 28 17 45 00 1 4325.432
2010 01 28 18 00 00 1 4325.476
2010 01 28 18 15 00 1 4325.518
2010 01 28 18 30 00 1 4325.559
2010 01 28 18 45 00 1 4325.601
2010 01 28 19 00 00 1 4325.641
2010 01 28 19 15 00 1 4325.679
2010 01 28 19 30 00 1 4325.716
2010 01 28 19 45 00 1 4325.747
2010 01 28 20 00 00 1 4325.776
2010 01 28 20 15 00 1 4325.806
2010 01 28 20 30 00 1 4325.834
2010 01 28 20 45 00 1 4325.856
2010 01 28 21 00 00 1 4325.874
2010 01 28 21 15 00 1 4325.887
2010 01 28 21 30 00 1 4325.898
2010 01 28 21 45 00 1 4325.901
2010 01 28 22 00 00 1 4325.904
2010 01 28 22 15 00 1 4325.898
2010 01 28 22 30 00 1 4325.895
2010 01 28 22 45 00 1 4325.885
