#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2010 01 27 06 45 00 1 4682.456
2010 01 27 07 00 00 1 4682.489
2010 01 27 07 15 00 1 4682.524
2010 01 27 07 30 00 1 4682.564
2010 01 27 07 45 00 1 4682.608
2010 01 27 08 00 00 1 4682.650
2010 01 27 08 15 00 1 4682.697
2010 01 27 08 30 00 1 4682.744
2010 01 27 08 45 00 1 4682.792
2010 01 27 09 00 00 1 4682.837
2010 01 27 09 15 00 1 4682.881
2010 01 27 09 30 00 1 4682.921
2010 01 27 09 45 00 1 4682.960
2010 01 27 10 00 00 1 4682.997
2010 01 27 10 15 00 1 4683.028
2010 01 27 10 30 00 1 4683.055
2010 01 27 10 45 00 1 4683.080
2010 01 27 11 00 00 1 4683.103
2010 01 27 11 15 00 1 4683.122
2010 01 27 11 30 00 1 4683.134
2010 01 27 11 45 00 1 4683.139
2010 01 27 12 00 00 1 4683.137
2010 01 27 12 15 00 1 4683.136
2010 01 27 12 30 00 1 4683.135
2010 01 27 12 45 00 1 4683.124
2010 01 27 13 00 00 1 4683.109
2010 01 27 13 15 00 1 4683.092
2010 01 27 13 30 00 1 4683.071
2010 01 27 13 45 00 1 4683.045
2010 01 27 14 00 00 1 4683.014
2010 01 27 14 15 00 1 4682.980
2010 01 27 14 30 00 1 4682.943
2010 01 27 14 45 00 1 4682.902
2010 01 27 15 00 00 1 4682.864
2010 01 27 15 15 00 1 4682.824
2010 01 27 15 30 00 1 4682.783
2010 01 27 15 45 00 1 4682.745
2010 01 27 16 00 00 1 4682.708
2010 01 27 16 15 00 1 4682.671
2010 01 27 16 30 00 1 4682.635
2010 01 27 16 45 00 1 4682.603
2010 01 27 17 00 00 1 4682.569
2010 01 27 17 15 00 1 4682.543
2010 01 27 17 30 00 1 4682.517
2010 01 27 17 45 00 1 4682.495
2010 01 27 18 00 00 1 4682.483
2010 01 27 18 15 00 1 4682.473
2010 01 27 18 30 00 1 4682.464
2010 01 27 18 45 00 1 4682.456
2010 01 27 19 00 00 1 4682.450
2010 01 27 19 15 00 1 4682.446
2010 01 27 19 30 00 1 4682.446
2010 01 27 19 45 00 1 4682.449
2010 01 27 20 00 00 1 4682.453
2010 01 27 20 15 00 1 4682.461
2010 01 27 20 30 00 1 4682.473
2010 01 27 20 45 00 1 4682.484
2010 01 27 21 00 00 1 4682.495
2010 01 27 21 15 00 1 4682.509
2010 01 27 21 30 00 1 4682.524
2010 01 27 21 45 00 1 4682.541
2010 01 27 22 00 00 1 4682.558
2010 01 27 22 15 00 1 4682.571
2010 01 27 22 30 00 1 4682.580
2010 01 27 22 45 00 1 4682.589
2010 01 27 23 00 00 1 4682.596
2010 01 27 23 15 00 1 4682.603
2010 01 27 23 30 00 1 4682.608
2010 01 27 23 45 00 1 4682.608
2010 01 28 00 00 00 1 4682.607
2010 01 28 00 15 00 1 4682.600
2010 01 28 00 30 00 1 4682.592
2010 01 28 00 45 00 1 4682.584
2010 01 28 01 00 00 1 4682.573
2010 01 28 01 15 00 1 4682.561
2010 01 28 01 30 00 1 4682.545
2010 01 28 01 45 00 1 4682.527
2010 01 28 02 00 00 1 4682.510
2010 01 28 02 15 00 1 4682.486
2010 01 28 02 30 00 1 4682.463
2010 01 28 02 45 00 1 4682.440
2010 01 28 03 00 00 1 4682.418
2010 01 28 03 15 00 1 4682.394
2010 01 28 03 30 00 1 4682.371
2010 01 28 03 45 00 1 4682.349
2010 01 28 04 00 00 1 4682.329
2010 01 28 04 15 00 1 4682.311
2010 01 28 04 30 00 1 4682.297
2010 01 28 04 45 00 1 4682.284
2010 01 28 05 00 00 1 4682.274
2010 01 28 05 15 00 1 4682.271
2010 01 28 05 30 00 1 4682.272
2010 01 28 05 45 00 1 4682.275
2010 01 28 06 00 00 1 4682.285
2010 01 28 06 15 00 1 4682.300
2010 01 28 06 30 00 1 4682.316
2010 01 28 06 45 00 1 4682.339
2010 01 28 07 00 00 1 4682.364
2010 01 28 07 15 00 1 4682.389
2010 01 28 07 30 00 1 4682.424
2010 01 28 07 45 00 1 4682.462
2010 01 28 08 00 00 1 4682.508
2010 01 28 08 15 00 1 4682.554
2010 01 28 08 30 00 1 4682.602
2010 01 28 08 45 00 1 4682.652
2010 01 28 09 00 00 1 4682.700
2010 01 28 09 15 00 1 4682.750
2010 01 28 09 30 00 1 4682.800
2010 01 28 09 45 00 1 4682.848
2010 01 28 10 00 00 1 4682.896
2010 01 28 10 15 00 1 4682.942
2010 01 28 10 30 00 1 4682.990
2010 01 28 10 45 00 1 4683.032
2010 01 28 11 00 00 1 4683.068
2010 01 28 11 15 00 1 4683.099
2010 01 28 11 30 00 1 4683.129
2010 01 28 11 45 00 1 4683.158
2010 01 28 12 00 00 1 4683.178
2010 01 28 12 15 00 1 4683.192
2010 01 28 12 30 00 1 4683.203
2010 01 28 12 45 00 1 4683.211
2010 01 28 13 00 00 1 4683.206
2010 01 28 13 15 00 1 4683.199
2010 01 28 13 30 00 1 4683.188
2010 01 28 13 45 00 1 4683.170
2010 01 28 14 00 00 1 4683.143
2010 01 28 14 15 00 1 4683.119
2010 01 28 14 30 00 1 4683.086
2010 01 28 14 45 00 1 4683.052
2010 01 28 15 00 00 1 4683.012
2010 01 28 15 15 00 1 4682.965
2010 01 28 15 30 00 1 4682.922
2010 01 28 15 45 00 1 4682.876
2010 01 28 16 00 00 1 4682.833
2010 01 28 16 15 00 1 4682.786
2010 01 28 16 30 00 1 4682.741
2010 01 28 16 45 00 1 4682.696
2010 01 28 17 00 00 1 4682.651
2010 01 28 17 15 00 1 4682.613
2010 01 28 17 30 00 1 4682.576
2010 01 28 17 45 00 1 4682.542
2010 01 28 18 00 00 1 4682.512
2010 01 28 18 15 00 1 4682.487
2010 01 28 18 30 00 1 4682.461
2010 01 28 18 45 00 1 4682.445
2010 01 28 19 00 00 1 4682.432
2010 01 28 19 15 00 1 4682.424
2010 01 28 19 30 00 1 4682.418
2010 01 28 19 45 00 1 4682.413
2010 01 28 20 00 00 1 4682.413
2010 01 28 20 15 00 1 4682.420
2010 01 28 20 30 00 1 4682.425
2010 01 28 20 45 00 1 4682.434
2010 01 28 21 00 00 1 4682.449
2010 01 28 21 15 00 1 4682.464
2010 01 28 21 30 00 1 4682.478
2010 01 28 21 45 00 1 4682.495
2010 01 28 22 00 00 1 4682.513
2010 01 28 22 15 00 1 4682.532
2010 01 28 22 30 00 1 4682.550
2010 01 28 22 45 00 1 4682.566
2010 01 28 23 00 00 1 4682.581
2010 01 28 23 15 00 1 4682.601
2010 01 28 23 30 00 1 4682.614
2010 01 28 23 45 00 1 4682.626
2010 01 29 00 00 00 1 4682.639
2010 01 29 00 15 00 1 4682.651
2010 01 29 00 30 00 1 4682.658
2010 01 29 00 45 00 1 4682.657
2010 01 29 01 00 00 1 4682.656
2010 01 29 01 15 00 1 4682.652
2010 01 29 01 30 00 1 4682.644
2010 01 29 01 45 00 1 4682.636
2010 01 29 02 00 00 1 4682.628
2010 01 29 02 15 00 1 4682.608
2010 01 29 02 30 00 1 4682.588
2010 01 29 02 45 00 1 4682.564
2010 01 29 03 00 00 1 4682.541
2010 01 29 03 15 00 1 4682.515
2010 01 29 03 30 00 1 4682.487
2010 01 29 03 45 00 1 4682.457
2010 01 29 04 00 00 1 4682.431
2010 01 29 04 15 00 1 4682.402
2010 01 29 04 30 00 1 4682.370
2010 01 29 04 45 00 1 4682.342
2010 01 29 05 00 00 1 4682.320
2010 01 29 05 15 00 1 4682.297
2010 01 29 05 30 00 1 4682.281
2010 01 29 05 45 00 1 4682.269
2010 01 29 06 00 00 1 4682.260
2010 01 29 06 15 00 1 4682.255
2010 01 29 06 30 00 1 4682.260
2010 01 29 06 45 00 1 4682.267
2010 01 29 07 00 00 1 4682.277
2010 01 29 07 15 00 1 4682.292
2010 01 29 07 30 00 1 4682.316
2010 01 29 07 45 00 1 4682.342
2010 01 29 08 00 00 1 4682.374
2010 01 29 08 15 00 1 4682.411
2010 01 29 08 30 00 1 4682.451
2010 01 29 08 45 00 1 4682.496
2010 01 29 09 00 00 1 4682.544
2010 01 29 09 15 00 1 4682.591
2010 01 29 09 30 00 1 4682.641
2010 01 29 09 45 00 1 4682.696
2010 01 29 10 00 00 1 4682.751
2010 01 29 10 15 00 1 4682.806
2010 01 29 10 30 00 1 4682.862
2010 01 29 10 45 00 1 4682.914
2010 01 29 11 00 00 1 4682.964
2010 01 29 11 15 00 1 4683.012
2010 01 29 11 30 00 1 4683.057
2010 01 29 11 45 00 1 4683.100
2010 01 29 12 00 00 1 4683.137
2010 01 29 12 15 00 1 4683.172
2010 01 29 12 30 00 1 4683.196
2010 01 29 12 45 00 1 4683.216
2010 01 29 13 00 00 1 4683.231
2010 01 29 13 15 00 1 4683.241
2010 01 29 13 30 00 1 4683.247
2010 01 29 13 45 00 1 4683.246
2010 01 29 14 00 00 1 4683.232
2010 01 29 14 15 00 1 4683.215
2010 01 29 14 30 00 1 4683.190
2010 01 29 14 45 00 1 4683.166
2010 01 29 15 00 00 1 4683.133
2010 01 29 15 15 00 1 4683.101
2010 01 29 15 30 00 1 4683.061
2010 01 29 15 45 00 1 4683.015
2010 01 29 16 00 00 1 4682.967
2010 01 29 16 15 00 1 4682.919
2010 01 29 16 30 00 1 4682.870
2010 01 29 16 45 00 1 4682.825
2010 01 29 17 00 00 1 4682.779
2010 01 29 17 15 00 1 4682.728
2010 01 29 17 30 00 1 4682.683
2010 01 29 17 45 00 1 4682.641
2010 01 29 18 00 00 1 4682.597
2010 01 29 18 15 00 1 4682.560
2010 01 29 18 30 00 1 4682.524
2010 01 29 18 45 00 1 4682.492
2010 01 29 19 00 00 1 4682.462
2010 01 29 19 15 00 1 4682.439
2010 01 29 19 30 00 1 4682.421
2010 01 29 19 45 00 1 4682.406
2010 01 29 20 00 00 1 4682.391
2010 01 29 20 15 00 1 4682.384
2010 01 29 20 30 00 1 4682.384
2010 01 29 20 45 00 1 4682.385
2010 01 29 21 00 00 1 4682.388
2010 01 29 21 15 00 1 4682.397
2010 01 29 21 30 00 1 4682.412
2010 01 29 21 45 00 1 4682.427
2010 01 29 22 00 00 1 4682.447
2010 01 29 22 15 00 1 4682.468
2010 01 29 22 30 00 1 4682.488
2010 01 29 22 45 00 1 4682.510
2010 01 29 23 00 00 1 4682.534
2010 01 29 23 15 00 1 4682.556
2010 01 29 23 30 00 1 4682.580
2010 01 29 23 45 00 1 4682.604
2010 01 30 00 00 00 1 4682.624
2010 01 30 00 15 00 1 4682.641
2010 01 30 00 30 00 1 4682.657
2010 01 30 00 45 00 1 4682.672
2010 01 30 01 00 00 1 4682.689
2010 01 30 01 15 00 1 4682.701
2010 01 30 01 30 00 1 4682.708
2010 01 30 01 45 00 1 4682.710
2010 01 30 02 00 00 1 4682.706
2010 01 30 02 15 00 1 4682.699
2010 01 30 02 30 00 1 4682.689
2010 01 30 02 45 00 1 4682.676
2010 01 30 03 00 00 1 4682.659
2010 01 30 03 15 00 1 4682.637
2010 01 30 03 30 00 1 4682.615
2010 01 30 03 45 00 1 4682.586
2010 01 30 04 00 00 1 4682.555
2010 01 30 04 15 00 1 4682.522
2010 01 30 04 30 00 1 4682.489
2010 01 30 04 45 00 1 4682.455
2010 01 30 05 00 00 1 4682.423
2010 01 30 05 15 00 1 4682.393
2010 01 30 05 30 00 1 4682.361
2010 01 30 05 45 00 1 4682.334
2010 01 30 06 00 00 1 4682.309
2010 01 30 06 15 00 1 4682.285
2010 01 30 06 30 00 1 4682.268
2010 01 30 06 45 00 1 4682.256
2010 01 30 07 00 00 1 4682.248
2010 01 30 07 15 00 1 4682.243
2010 01 30 07 30 00 1 4682.250
2010 01 30 07 45 00 1 4682.258
2010 01 30 08 00 00 1 4682.274
2010 01 30 08 15 00 1 4682.295
2010 01 30 08 30 00 1 4682.324
2010 01 30 08 45 00 1 4682.354
2010 01 30 09 00 00 1 4682.392
2010 01 30 09 15 00 1 4682.430
2010 01 30 09 30 00 1 4682.475
2010 01 30 09 45 00 1 4682.523
2010 01 30 10 00 00 1 4682.572
2010 01 30 10 15 00 1 4682.624
2010 01 30 10 30 00 1 4682.679
2010 01 30 10 45 00 1 4682.733
2010 01 30 11 00 00 1 4682.792
2010 01 30 11 15 00 1 4682.847
2010 01 30 11 30 00 1 4682.901
2010 01 30 11 45 00 1 4682.955
2010 01 30 12 00 00 1 4683.008
2010 01 30 12 15 00 1 4683.053
2010 01 30 12 30 00 1 4683.093
2010 01 30 12 45 00 1 4683.129
2010 01 30 13 00 00 1 4683.162
2010 01 30 13 15 00 1 4683.189
2010 01 30 13 30 00 1 4683.210
2010 01 30 13 45 00 1 4683.220
2010 01 30 14 00 00 1 4683.225
2010 01 30 14 15 00 1 4683.224
2010 01 30 14 30 00 1 4683.220
2010 01 30 14 45 00 1 4683.208
2010 01 30 15 00 00 1 4683.193
2010 01 30 15 15 00 1 4683.175
2010 01 30 15 30 00 1 4683.144
2010 01 30 15 45 00 1 4683.113
2010 01 30 16 00 00 1 4683.077
2010 01 30 16 15 00 1 4683.036
2010 01 30 16 30 00 1 4682.990
2010 01 30 16 45 00 1 4682.940
2010 01 30 17 00 00 1 4682.892
2010 01 30 17 15 00 1 4682.842
2010 01 30 17 30 00 1 4682.788
2010 01 30 17 45 00 1 4682.737
2010 01 30 18 00 00 1 4682.691
2010 01 30 18 15 00 1 4682.643
2010 01 30 18 30 00 1 4682.595
2010 01 30 18 45 00 1 4682.550
2010 01 30 19 00 00 1 4682.509
2010 01 30 19 15 00 1 4682.470
2010 01 30 19 30 00 1 4682.439
2010 01 30 19 45 00 1 4682.413
2010 01 30 20 00 00 1 4682.393
2010 01 30 20 15 00 1 4682.372
2010 01 30 20 30 00 1 4682.357
2010 01 30 20 45 00 1 4682.349
2010 01 30 21 00 00 1 4682.344
2010 01 30 21 15 00 1 4682.345
2010 01 30 21 30 00 1 4682.349
2010 01 30 21 45 00 1 4682.358
2010 01 30 22 00 00 1 4682.371
2010 01 30 22 15 00 1 4682.390
2010 01 30 22 30 00 1 4682.411
2010 01 30 22 45 00 1 4682.435
2010 01 30 23 00 00 1 4682.459
2010 01 30 23 15 00 1 4682.488
2010 01 30 23 30 00 1 4682.522
2010 01 30 23 45 00 1 4682.552
2010 01 31 00 00 00 1 4682.582
2010 01 31 00 15 00 1 4682.612
2010 01 31 00 30 00 1 4682.638
2010 01 31 00 45 00 1 4682.665
2010 01 31 01 00 00 1 4682.689
2010 01 31 01 15 00 1 4682.712
2010 01 31 01 30 00 1 4682.730
2010 01 31 01 45 00 1 4682.742
2010 01 31 02 00 00 1 4682.754
2010 01 31 02 15 00 1 4682.765
2010 01 31 02 30 00 1 4682.769
2010 01 31 02 45 00 1 4682.768
2010 01 31 03 00 00 1 4682.762
2010 01 31 03 15 00 1 4682.754
2010 01 31 03 30 00 1 4682.737
2010 01 31 03 45 00 1 4682.718
2010 01 31 04 00 00 1 4682.696
2010 01 31 04 15 00 1 4682.670
2010 01 31 04 30 00 1 4682.638
2010 01 31 04 45 00 1 4682.605
2010 01 31 05 00 00 1 4682.570
2010 01 31 05 15 00 1 4682.536
2010 01 31 05 30 00 1 4682.504
2010 01 31 05 45 00 1 4682.468
2010 01 31 06 00 00 1 4682.432
2010 01 31 06 15 00 1 4682.400
2010 01 31 06 30 00 1 4682.370
2010 01 31 06 45 00 1 4682.343
2010 01 31 07 00 00 1 4682.320
2010 01 31 07 15 00 1 4682.299
2010 01 31 07 30 00 1 4682.282
2010 01 31 07 45 00 1 4682.272
2010 01 31 08 00 00 1 4682.266
2010 01 31 08 15 00 1 4682.271
2010 01 31 08 30 00 1 4682.278
2010 01 31 08 45 00 1 4682.290
2010 01 31 09 00 00 1 4682.311
2010 01 31 09 15 00 1 4682.334
2010 01 31 09 30 00 1 4682.361
2010 01 31 09 45 00 1 4682.394
2010 01 31 10 00 00 1 4682.433
2010 01 31 10 15 00 1 4682.474
2010 01 31 10 30 00 1 4682.522
2010 01 31 10 45 00 1 4682.576
2010 01 31 11 00 00 1 4682.628
2010 01 31 11 15 00 1 4682.679
2010 01 31 11 30 00 1 4682.732
2010 01 31 11 45 00 1 4682.785
2010 01 31 12 00 00 1 4682.836
2010 01 31 12 15 00 1 4682.892
2010 01 31 12 30 00 1 4682.944
2010 01 31 12 45 00 1 4682.992
2010 01 31 13 00 00 1 4683.034
2010 01 31 13 15 00 1 4683.071
2010 01 31 13 30 00 1 4683.103
2010 01 31 13 45 00 1 4683.130
2010 01 31 14 00 00 1 4683.153
2010 01 31 14 15 00 1 4683.172
2010 01 31 14 30 00 1 4683.182
2010 01 31 14 45 00 1 4683.185
2010 01 31 15 00 00 1 4683.185
2010 01 31 15 15 00 1 4683.177
2010 01 31 15 30 00 1 4683.161
2010 01 31 15 45 00 1 4683.145
2010 01 31 16 00 00 1 4683.120
2010 01 31 16 15 00 1 4683.089
2010 01 31 16 30 00 1 4683.056
2010 01 31 16 45 00 1 4683.018
2010 01 31 17 00 00 1 4682.976
2010 01 31 17 15 00 1 4682.929
2010 01 31 17 30 00 1 4682.887
2010 01 31 17 45 00 1 4682.839
2010 01 31 18 00 00 1 4682.792
2010 01 31 18 15 00 1 4682.741
2010 01 31 18 30 00 1 4682.687
2010 01 31 18 45 00 1 4682.639
2010 01 31 19 00 00 1 4682.589
2010 01 31 19 15 00 1 4682.542
2010 01 31 19 30 00 1 4682.502
2010 01 31 19 45 00 1 4682.465
2010 01 31 20 00 00 1 4682.428
2010 01 31 20 15 00 1 4682.397
2010 01 31 20 30 00 1 4682.369
2010 01 31 20 45 00 1 4682.347
2010 01 31 21 00 00 1 4682.333
2010 01 31 21 15 00 1 4682.324
