t,v,s,f,q
2009-09-29 00:00,1.269,0.031,"0,0,0,0",v
2009-09-29 00:06,1.283,0.021,"0,0,0,0",v
2009-09-29 00:12,1.298,0.019,"0,0,0,0",v
2009-09-29 00:18,1.313,0.03,"0,0,0,0",v
2009-09-29 00:24,1.333,0.027,"0,0,0,0",v
2009-09-29 00:30,1.331,0.029,"0,0,0,0",v
2009-09-29 00:36,1.354,0.023,"0,0,0,0",v
2009-09-29 00:42,1.377,0.034,"0,0,0,0",v
2009-09-29 00:48,1.371,0.029,"0,0,0,0",v
2009-09-29 00:54,1.391,0.027,"0,0,0,0",v
2009-09-29 01:00,1.415,0.024,"0,0,0,0",v
2009-09-29 01:06,1.414,0.021,"0,0,0,0",v
2009-09-29 01:12,1.427,0.028,"0,0,0,0",v
2009-09-29 01:18,1.444,0.026,"0,0,0,0",v
2009-09-29 01:24,1.447,0.026,"0,0,0,0",v
2009-09-29 01:30,1.461,0.031,"0,0,0,0",v
2009-09-29 01:36,1.468,0.028,"0,0,0,0",v
2009-09-29 01:42,1.476,0.032,"0,0,0,0",v
2009-09-29 01:48,1.491,0.036,"0,0,0,0",v
2009-09-29 01:54,1.503,0.025,"0,0,0,0",v
2009-09-29 02:00,1.485,0.052,"0,0,0,0",v
2009-09-29 02:06,1.5,0.027,"0,0,0,0",v
2009-09-29 02:12,1.515,0.027,"0,0,0,0",v
2009-09-29 02:18,1.511,0.037,"0,0,0,0",v
2009-09-29 02:24,1.508,0.034,"0,0,0,0",v
2009-09-29 02:30,1.52,0.034,"0,0,0,0",v
2009-09-29 02:36,1.522,0.036,"0,0,0,0",v
2009-09-29 02:42,1.509,0.031,"0,0,0,0",v
2009-09-29 02:48,1.521,0.028,"0,0,0,0",v
2009-09-29 02:54,1.517,0.034,"0,0,0,0",v
2009-09-29 03:00,1.518,0.033,"0,0,0,0",v
2009-09-29 03:06,1.513,0.04,"0,0,0,0",v
2009-09-29 03:12,1.514,0.029,"0,0,0,0",v
2009-09-29 03:18,1.517,0.027,"0,0,0,0",v
2009-09-29 03:24,1.494,0.027,"0,0,0,0",v
2009-09-29 03:30,1.483,0.03,"0,0,0,0",v
2009-09-29 03:36,1.508,0.028,"0,0,0,0",v
2009-09-29 03:42,1.484,0.043,"0,0,0,0",v
2009-09-29 03:48,1.471,0.03,"0,0,0,0",v
2009-09-29 03:54,1.482,0.032,"0,0,0,0",v
2009-09-29 04:00,1.469,0.039,"0,0,0,0",v
2009-09-29 04:06,1.45,0.042,"0,0,0,0",v
2009-09-29 04:12,1.45,0.03,"0,0,0,0",v
2009-09-29 04:18,1.436,0.037,"0,0,0,0",v
2009-09-29 04:24,1.424,0.034,"0,0,0,0",v
2009-09-29 04:30,1.41,0.031,"0,0,0,0",v
2009-09-29 04:36,1.406,0.049,"0,0,0,0",v
2009-09-29 04:42,1.39,0.034,"0,0,0,0",v
2009-09-29 04:48,1.377,0.033,"0,0,0,0",v
2009-09-29 04:54,1.37,0.031,"0,0,0,0",v
2009-09-29 05:00,1.344,0.036,"0,0,0,0",v
2009-09-29 05:06,1.337,0.032,"0,0,0,0",v
2009-09-29 05:12,1.321,0.032,"0,0,0,0",v
2009-09-29 05:18,1.304,0.026,"0,0,0,0",v
