t,v,s,f,q
2009-09-29 10:36,1.268,0.03,"0,0,0,0",v
2009-09-29 10:42,1.263,0.04,"0,0,0,0",v
2009-09-29 10:48,1.266,0.037,"0,0,0,0",v
2009-09-29 10:54,1.26,0.038,"0,0,0,0",v
2009-09-29 11:00,1.267,0.036,"0,0,0,0",v
2009-09-29 11:06,1.256,0.035,"0,0,0,0",v
2009-09-29 11:12,1.268,0.034,"0,0,0,0",v
2009-09-29 11:18,1.276,0.04,"0,0,0,0",v
2009-09-29 11:24,1.254,0.035,"0,0,0,0",v
2009-09-29 11:30,1.288,0.037,"0,0,0,0",v
2009-09-29 11:36,1.267,0.031,"0,0,0,0",v
2009-09-29 11:42,1.269,0.03,"0,0,0,0",v
2009-09-29 11:48,1.262,0.038,"0,0,0,0",v
2009-09-29 11:54,1.278,0.03,"0,0,0,0",v
2009-09-29 12:00,1.247,0.035,"0,0,0,0",v
2009-09-29 12:06,1.28,0.031,"0,0,0,0",v
2009-09-29 12:12,1.247,0.035,"0,0,0,0",v
2009-09-29 12:18,1.269,0.039,"0,0,0,0",v
2009-09-29 12:24,1.257,0.03,"0,0,0,0",v
2009-09-29 12:30,1.259,0.029,"0,0,0,0",v
2009-09-29 12:36,1.267,0.03,"0,0,0,0",v
2009-09-29 12:42,1.247,0.031,"0,0,0,0",v
2009-09-29 12:48,1.245,0.035,"0,0,0,0",v
2009-09-29 12:54,1.256,0.035,"0,0,0,0",v
2009-09-29 13:00,1.235,0.035,"0,0,0,0",v
2009-09-29 13:06,1.24,0.035,"0,0,0,0",v
2009-09-29 13:12,1.237,0.036,"0,0,0,0",v
2009-09-29 13:18,1.23,0.035,"0,0,0,0",v
2009-09-29 13:24,1.236,0.034,"0,0,0,0",v
2009-09-29 13:30,1.232,0.033,"0,0,0,0",v
2009-09-29 13:36,1.217,0.03,"0,0,0,0",v
2009-09-29 13:42,1.237,0.034,"0,0,0,0",v
2009-09-29 13:48,1.215,0.038,"0,0,0,0",v
2009-09-29 13:54,1.218,0.032,"0,0,0,0",v
2009-09-29 14:00,1.224,0.032,"0,0,0,0",v
2009-09-29 14:06,1.214,0.035,"0,0,0,0",v
2009-09-29 14:12,1.191,0.039,"0,0,0,0",v
2009-09-29 14:18,1.211,0.036,"0,0,0,0",v
2009-09-29 14:24,1.19,0.036,"0,0,0,0",v
2009-09-29 14:30,1.193,0.031,"0,0,0,0",v
2009-09-29 14:36,1.169,0.032,"0,0,0,0",v
2009-09-29 14:42,1.189,0.03,"0,0,0,0",v
2009-09-29 14:48,1.153,0.03,"0,0,0,0",v
2009-09-29 14:54,1.173,0.031,"0,0,0,0",v
2009-09-29 15:00,1.143,0.028,"0,0,0,0",v
2009-09-29 15:06,1.159,0.032,"0,0,0,0",v
2009-09-29 15:12,1.155,0.028,"0,0,0,0",v
2009-09-29 15:18,1.141,0.028,"0,0,0,0",v
2009-09-29 15:24,1.148,0.027,"0,0,0,0",v
2009-09-29 15:30,1.132,0.03,"0,0,0,0",v
2009-09-29 15:36,1.132,0.03,"0,0,0,0",v
2009-09-29 15:42,1.13,0.029,"0,0,0,0",v
2009-09-29 15:48,1.131,0.032,"0,0,0,0",v
2009-09-29 15:54,1.13,0.026,"0,0,0,0",v
2009-09-29 16:00,1.128,0.025,"0,0,0,0",v
2009-09-29 16:06,1.113,0.026,"0,0,0,0",v
2009-09-29 16:12,1.124,0.026,"0,0,0,0",v
2009-09-29 16:18,1.131,0.029,"0,0,0,0",v
2009-09-29 16:24,1.113,0.027,"0,0,0,0",v
2009-09-29 16:30,1.125,0.028,"0,0,0,0",v
2009-09-29 16:36,1.119,0.027,"0,0,0,0",v
2009-09-29 16:42,1.112,0.031,"0,0,0,0",v
2009-09-29 16:48,1.105,0.029,"0,0,0,0",v
2009-09-29 16:54,1.117,0.026,"0,0,0,0",v
2009-09-29 17:00,1.114,0.027,"0,0,0,0",v
2009-09-29 17:06,1.098,0.027,"0,0,0,0",v
2009-09-29 17:12,1.122,0.027,"0,0,0,0",v
2009-09-29 17:18,1.113,0.029,"0,0,0,0",v
2009-09-29 17:24,1.111,0.031,"0,0,0,0",v
2009-09-29 17:30,1.116,0.026,"0,0,0,0",v
2009-09-29 17:36,1.133,0.028,"0,0,0,0",v
2009-09-29 17:42,1.129,0.026,"0,0,0,0",v
2009-09-29 17:48,1.12,0.029,"0,0,0,0",v
2009-09-29 17:54,1.144,0.024,"0,0,0,0",v
2009-09-29 18:00,1.117,0.026,"0,0,0,0",v
2009-09-29 18:06,1.142,0.027,"0,0,0,0",v
2009-09-29 18:12,1.131,0.025,"0,0,0,0",v
2009-09-29 18:18,1.129,0.029,"0,0,0,0",v
2009-09-29 18:24,1.14,0.028,"0,0,0,0",v
2009-09-29 18:30,1.122,0.023,"0,0,0,0",v
2009-09-29 18:36,1.148,0.027,"0,0,0,0",v
2009-09-29 18:42,1.126,0.027,"0,0,0,0",v
2009-09-29 18:48,1.149,0.025,"0,0,0,0",v
2009-09-29 18:54,1.145,0.031,"0,0,0,0",v
2009-09-29 19:00,1.154,0.031,"0,0,0,0",v
2009-09-29 19:06,1.151,0.03,"0,0,0,0",v
2009-09-29 19:12,1.167,0.028,"0,0,0,0",v
2009-09-29 19:18,1.158,0.028,"0,0,0,0",v
2009-09-29 19:24,1.162,0.034,"0,0,0,0",v
2009-09-29 19:30,1.19,0.032,"0,0,0,0",v
2009-09-29 19:36,1.176,0.026,"0,0,0,0",v
2009-09-29 19:42,1.195,0.033,"0,0,0,0",v
2009-09-29 19:48,1.195,0.027,"0,0,0,0",v
2009-09-29 19:54,1.213,0.032,"0,0,0,0",v
2009-09-29 20:00,1.199,0.026,"0,0,0,0",v
2009-09-29 20:06,1.229,0.032,"0,0,0,0",v
2009-09-29 20:12,1.215,0.027,"0,0,0,0",v
2009-09-29 20:18,1.228,0.034,"0,0,0,0",v
2009-09-29 20:24,1.227,0.03,"0,0,0,0",v
2009-09-29 20:30,1.235,0.028,"0,0,0,0",v
2009-09-29 20:36,1.244,0.033,"0,0,0,0",v
2009-09-29 20:42,1.239,0.029,"0,0,0,0",v
2009-09-29 20:48,1.265,0.03,"0,0,0,0",v
2009-09-29 20:54,1.251,0.027,"0,0,0,0",v
2009-09-29 21:00,1.265,0.035,"0,0,0,0",v
2009-09-29 21:06,1.269,0.038,"0,0,0,0",v
2009-09-29 21:12,1.276,0.029,"0,0,0,0",v
2009-09-29 21:18,1.268,0.037,"0,0,0,0",v
2009-09-29 21:24,1.278,0.032,"0,0,0,0",v
2009-09-29 21:30,1.288,0.038,"0,0,0,0",v
2009-09-29 21:36,1.262,0.033,"0,0,0,0",v
2009-09-29 21:42,1.304,0.037,"0,0,0,0",v
2009-09-29 21:48,1.274,0.03,"0,0,0,0",v
2009-09-29 21:54,1.298,0.039,"0,0,0,0",v
2009-09-29 22:00,1.291,0.036,"0,0,0,0",v
2009-09-29 22:06,1.301,0.037,"0,0,0,0",v
2009-09-29 22:12,1.303,0.038,"0,0,0,0",v
2009-09-29 22:18,1.304,0.036,"0,0,0,0",v
2009-09-29 22:24,1.316,0.031,"0,0,0,0",v
2009-09-29 22:30,1.301,0.034,"0,0,0,0",v
2009-09-29 22:36,1.328,0.033,"0,0,0,0",v
2009-09-29 22:42,1.313,0.033,"0,0,0,0",v
2009-09-29 22:48,1.322,0.034,"0,0,0,0",v
2009-09-29 22:54,1.309,0.036,"0,0,0,0",v
2009-09-29 23:00,1.321,0.033,"0,0,0,0",v
2009-09-29 23:06,1.324,0.032,"0,0,0,0",v
2009-09-29 23:12,1.323,0.034,"0,0,0,0",v
2009-09-29 23:18,1.325,0.04,"0,0,0,0",v
2009-09-29 23:24,1.32,0.032,"0,0,0,0",v
2009-09-29 23:30,1.335,0.034,"0,0,0,0",v
2009-09-29 23:36,1.326,0.039,"0,0,0,0",v
2009-09-29 23:42,1.322,0.034,"0,0,0,0",v
2009-09-29 23:48,1.333,0.037,"0,0,0,0",v
2009-09-29 23:54,1.328,0.034,"0,0,0,0",v
2009-09-30 00:00,1.331,0.032,"0,0,0,0",v
2009-09-30 00:06,1.327,0.036,"0,0,0,0",v
2009-09-30 00:12,1.34,0.045,"0,0,0,0",v
2009-09-30 00:18,1.324,0.041,"0,0,0,0",v
2009-09-30 00:24,1.352,0.041,"0,0,0,0",v
2009-09-30 00:30,1.339,0.035,"0,0,0,0",v
2009-09-30 00:36,1.306,0.037,"0,0,0,0",v
2009-09-30 00:42,1.391,0.0,"0,0,0,0",v
2009-09-30 00:48,1.272,0.037,"0,0,0,0",v
2009-09-30 00:54,1.399,0.041,"0,0,1,0",v
2009-09-30 01:00,1.294,0.047,"0,0,1,0",v
2009-09-30 01:06,1.401,0.06,"0,0,1,0",v
2009-09-30 01:12,1.31,0.078,"0,0,1,0",v
2009-09-30 01:18,1.353,0.09,"0,0,0,0",v
2009-09-30 01:24,1.37,0.094,"0,0,0,0",v
2009-09-30 01:30,1.266,0.073,"0,0,0,0",v
2009-09-30 01:36,1.478,0.062,"0,0,1,0",v
2009-09-30 01:42,1.191,0.043,"0,0,1,0",v
2009-09-30 01:48,1.499,0.046,"0,0,1,0",v
2009-09-30 01:54,1.2,0.036,"0,0,1,0",v
2009-09-30 02:00,1.483,0.0,"0,0,1,0",v
2009-09-30 02:06,1.214,0.039,"0,0,1,0",v
2009-09-30 02:12,1.4,0.044,"0,0,1,0",v
2009-09-30 02:18,1.308,0.059,"0,0,1,0",v
2009-09-30 02:24,1.295,0.051,"0,0,0,0",v
2009-09-30 02:30,1.35,0.042,"0,0,0,0",v
2009-09-30 02:36,1.275,0.038,"0,0,0,0",v
2009-09-30 02:42,1.374,0.035,"0,0,0,0",v
2009-09-30 02:48,1.287,0.043,"0,0,0,0",v
2009-09-30 02:54,1.342,0.035,"0,0,0,0",v
2009-09-30 03:00,1.286,0.033,"0,0,0,0",v
2009-09-30 03:06,1.35,0.039,"0,0,0,0",v
2009-09-30 03:12,1.25,0.037,"0,0,0,0",v
2009-09-30 03:18,1.35,0.047,"0,0,0,0",v
2009-09-30 03:24,1.226,0.046,"0,0,1,0",v
2009-09-30 03:30,1.366,0.038,"0,0,1,0",v
2009-09-30 03:36,1.209,0.045,"0,0,1,0",v
2009-09-30 03:42,1.321,0.039,"0,0,1,0",v
2009-09-30 03:48,1.251,0.047,"0,0,1,0",v
2009-09-30 03:54,1.261,0.041,"0,0,0,0",v
2009-09-30 04:00,1.31,0.039,"0,0,0,0",v
2009-09-30 04:06,1.188,0.033,"0,0,0,0",v
2009-09-30 04:12,1.359,0.046,"0,0,1,0",v
2009-09-30 04:18,1.153,0.042,"0,0,1,0",v
2009-09-30 04:24,1.326,0.038,"0,0,1,0",v
2009-09-30 04:30,1.155,0.032,"0,0,1,0",v
2009-09-30 04:36,1.301,0.038,"0,0,1,0",v
2009-09-30 04:42,1.176,0.037,"0,0,1,0",v
2009-09-30 04:48,1.256,0.0,"0,0,1,0",v
2009-09-30 04:54,1.188,0.035,"0,0,0,0",v
2009-09-30 05:00,1.224,0.028,"0,0,0,0",v
2009-09-30 05:06,1.187,0.041,"0,0,0,0",v
2009-09-30 05:12,1.221,0.033,"0,0,0,0",v
2009-09-30 05:18,1.184,0.034,"0,0,0,0",v
2009-09-30 05:24,1.199,0.033,"0,0,0,0",v
2009-09-30 05:30,1.22,0.025,"0,0,0,0",v
2009-09-30 05:36,1.165,0.033,"0,0,0,0",v
2009-09-30 05:42,1.205,0.031,"0,0,0,0",v
2009-09-30 05:48,1.2,0.031,"0,0,0,0",v
2009-09-30 05:54,1.151,0.032,"0,0,0,0",v
2009-09-30 06:00,1.222,0.038,"0,0,0,0",v
2009-09-30 06:06,1.15,0.036,"0,0,0,0",v
2009-09-30 06:12,1.204,0.045,"0,0,0,0",v
2009-09-30 06:18,1.176,0.043,"0,0,0,0",v
2009-09-30 06:24,1.192,0.043,"0,0,0,0",v
2009-09-30 06:30,1.172,0.04,"0,0,0,0",v
2009-09-30 06:36,1.184,0.04,"0,0,0,0",v
2009-09-30 06:42,1.165,0.031,"0,0,0,0",v
2009-09-30 06:48,1.169,0.03,"0,0,0,0",v
2009-09-30 06:54,1.186,0.032,"0,0,0,0",v
2009-09-30 07:00,1.131,0.032,"0,0,0,0",v
2009-09-30 07:06,1.191,0.036,"0,0,0,0",v
2009-09-30 07:12,1.159,0.037,"0,0,0,0",v
2009-09-30 07:18,1.165,0.038,"0,0,0,0",v
2009-09-30 07:24,1.179,0.034,"0,0,0,0",v
2009-09-30 07:30,1.156,0.038,"0,0,0,0",v
2009-09-30 07:36,1.193,0.041,"0,0,0,0",v
2009-09-30 07:42,1.142,0.047,"0,0,0,0",v
2009-09-30 07:48,1.215,0.033,"0,0,0,0",v
2009-09-30 07:54,1.131,0.028,"0,0,0,0",v
2009-09-30 08:00,1.206,0.032,"0,0,0,0",v
2009-09-30 08:06,1.158,0.031,"0,0,0,0",v
2009-09-30 08:12,1.18,0.041,"0,0,0,0",v
2009-09-30 08:18,1.192,0.048,"0,0,0,0",v
2009-09-30 08:24,1.18,0.036,"0,0,0,0",v
2009-09-30 08:30,1.213,0.032,"0,0,0,0",v
2009-09-30 08:36,1.17,0.03,"0,0,0,0",v
2009-09-30 08:42,1.225,0.033,"0,0,0,0",v
2009-09-30 08:48,1.178,0.03,"0,0,0,0",v
2009-09-30 08:54,1.23,0.031,"0,0,0,0",v
2009-09-30 09:00,1.185,0.035,"0,0,0,0",v
2009-09-30 09:06,1.196,0.031,"0,0,0,0",v
2009-09-30 09:12,1.241,0.033,"0,0,0,0",v
2009-09-30 09:18,1.171,0.03,"0,0,0,0",v
2009-09-30 09:24,1.247,0.037,"0,0,0,0",v
2009-09-30 09:30,1.181,0.029,"0,0,0,0",v
2009-09-30 09:36,1.254,0.0,"0,0,0,0",v
2009-09-30 09:42,1.197,0.04,"0,0,0,0",v
2009-09-30 09:48,1.237,0.047,"0,0,0,0",v
2009-09-30 09:54,1.247,0.04,"0,0,0,0",v
2009-09-30 10:00,1.211,0.029,"0,0,0,0",v
2009-09-30 10:06,1.251,0.031,"0,0,0,0",v
2009-09-30 10:12,1.22,0.029,"0,0,0,0",v
2009-09-30 10:18,1.262,0.033,"0,0,0,0",v
2009-09-30 10:24,1.228,0.033,"0,0,0,0",v
2009-09-30 10:30,1.248,0.032,"0,0,0,0",v
2009-09-30 10:36,1.273,0.035,"0,0,0,0",v
2009-09-30 10:42,1.217,0.036,"0,0,0,0",v
2009-09-30 10:48,1.277,0.031,"0,0,0,0",v
2009-09-30 10:54,1.231,0.029,"0,0,0,0",v
2009-09-30 11:00,1.243,0.032,"0,0,0,0",v
2009-09-30 11:06,1.285,0.047,"0,0,0,0",v
2009-09-30 11:12,1.207,0.036,"0,0,0,0",v
2009-09-30 11:18,1.296,0.037,"0,0,0,0",v
2009-09-30 11:24,1.214,0.033,"0,0,0,0",v
2009-09-30 11:30,1.321,0.032,"0,0,0,0",v
2009-09-30 11:36,1.174,0.038,"0,0,1,0",v
2009-09-30 11:42,1.335,0.034,"0,0,1,0",v
2009-09-30 11:48,1.195,0.033,"0,0,1,0",v
2009-09-30 11:54,1.288,0.035,"0,0,1,0",v
2009-09-30 12:00,1.268,0.039,"0,0,0,0",v
2009-09-30 12:06,1.245,0.035,"0,0,0,0",v
2009-09-30 12:12,1.291,0.0,"0,0,0,0",v
2009-09-30 12:18,1.23,0.035,"0,0,0,0",v
2009-09-30 12:24,1.265,0.039,"0,0,0,0",v
2009-09-30 12:30,1.271,0.041,"0,0,0,0",v
2009-09-30 12:36,1.245,0.036,"0,0,0,0",v
2009-09-30 12:42,1.273,0.027,"0,0,0,0",v
2009-09-30 12:48,1.251,0.036,"0,0,0,0",v
2009-09-30 12:54,1.262,0.031,"0,0,0,0",v
2009-09-30 13:00,1.23,0.032,"0,0,0,0",v
2009-09-30 13:06,1.258,0.03,"0,0,0,0",v
2009-09-30 13:12,1.233,0.032,"0,0,0,0",v
2009-09-30 13:18,1.247,0.037,"0,0,0,0",v
2009-09-30 13:24,1.251,0.034,"0,0,0,0",v
2009-09-30 13:30,1.215,0.031,"0,0,0,0",v
2009-09-30 13:36,1.255,0.038,"0,0,0,0",v
2009-09-30 13:42,1.194,0.033,"0,0,0,0",v
2009-09-30 13:48,1.269,0.036,"0,0,0,0",v
2009-09-30 13:54,1.183,0.033,"0,0,0,0",v
2009-09-30 14:00,1.276,0.029,"0,0,0,0",v
2009-09-30 14:06,1.179,0.029,"0,0,1,0",v
2009-09-30 14:12,1.238,0.031,"0,0,0,0",v
2009-09-30 14:18,1.239,0.034,"0,0,0,0",v
2009-09-30 14:24,1.172,0.029,"0,0,0,0",v
2009-09-30 14:30,1.253,0.031,"0,0,0,0",v
2009-09-30 14:36,1.184,0.039,"0,0,0,0",v
2009-09-30 14:42,1.214,0.04,"0,0,0,0",v
2009-09-30 14:48,1.223,0.034,"0,0,0,0",v
2009-09-30 14:54,1.171,0.036,"0,0,0,0",v
2009-09-30 15:00,1.226,0.031,"0,0,0,0",v
2009-09-30 15:06,1.164,0.028,"0,0,0,0",v
2009-09-30 15:12,1.204,0.029,"0,0,0,0",v
2009-09-30 15:18,1.181,0.03,"0,0,0,0",v
2009-09-30 15:24,1.176,0.037,"0,0,0,0",v
2009-09-30 15:30,1.179,0.033,"0,0,0,0",v
2009-09-30 15:36,1.157,0.033,"0,0,0,0",v
2009-09-30 15:42,1.187,0.028,"0,0,0,0",v
2009-09-30 15:48,1.115,0.028,"0,0,0,0",v
2009-09-30 15:54,1.205,0.029,"0,0,0,0",v
2009-09-30 16:00,1.098,0.031,"0,0,0,0",v
2009-09-30 16:06,1.19,0.0,"0,0,1,0",v
2009-09-30 16:12,1.103,0.029,"0,0,1,0",v
2009-09-30 16:18,1.169,0.03,"0,0,0,0",v
2009-09-30 16:24,1.107,0.029,"0,0,0,0",v
2009-09-30 16:30,1.152,0.032,"0,0,0,0",v
2009-09-30 16:36,1.108,0.027,"0,0,0,0",v
2009-09-30 16:42,1.148,0.03,"0,0,0,0",v
2009-09-30 16:48,1.114,0.031,"0,0,0,0",v
2009-09-30 16:54,1.139,0.029,"0,0,0,0",v
2009-09-30 17:00,1.097,0.025,"0,0,0,0",v
2009-09-30 17:06,1.141,0.026,"0,0,0,0",v
2009-09-30 17:12,1.094,0.028,"0,0,0,0",v
2009-09-30 17:18,1.118,0.029,"0,0,0,0",v
2009-09-30 17:24,1.138,0.027,"0,0,0,0",v
2009-09-30 17:30,1.078,0.028,"0,0,0,0",v
2009-09-30 17:36,1.13,0.028,"0,0,0,0",v
2009-09-30 17:42,1.087,0.029,"0,0,0,0",v
2009-09-30 17:48,1.111,0.029,"0,0,0,0",v
2009-09-30 17:54,1.102,0.025,"0,0,0,0",v
2009-09-30 18:00,1.101,0.027,"0,0,0,0",v
2009-09-30 18:06,1.107,0.03,"0,0,0,0",v
2009-09-30 18:12,1.107,0.03,"0,0,0,0",v
2009-09-30 18:18,1.11,0.028,"0,0,0,0",v
