t,v,s,f,q
2009-09-29 00:00,1.781,0.019,"0,0,0,0",v
2009-09-29 00:06,1.751,0.024,"0,0,0,0",v
2009-09-29 00:12,1.791,0.027,"0,0,0,0",v
2009-09-29 00:18,1.757,0.026,"0,0,0,0",v
2009-09-29 00:24,1.726,0.027,"0,0,0,0",v
2009-09-29 00:30,1.742,0.023,"0,0,0,0",v
2009-09-29 00:36,1.729,0.022,"0,0,0,0",v
2009-09-29 00:42,1.724,0.023,"0,0,0,0",v
2009-09-29 00:48,1.71,0.024,"0,0,0,0",v
2009-09-29 00:54,1.694,0.025,"0,0,0,0",v
2009-09-29 01:00,1.694,0.024,"0,0,0,0",v
2009-09-29 01:06,1.672,0.026,"0,0,0,0",v
2009-09-29 01:12,1.667,0.023,"0,0,0,0",v
2009-09-29 01:18,1.644,0.022,"0,0,0,0",v
2009-09-29 01:24,1.655,0.027,"0,0,0,0",v
2009-09-29 01:30,1.654,0.026,"0,0,0,0",v
2009-09-29 01:36,1.615,0.023,"0,0,0,0",v
2009-09-29 01:42,1.618,0.021,"0,0,0,0",v
2009-09-29 01:48,1.595,0.026,"0,0,0,0",v
2009-09-29 01:54,1.59,0.023,"0,0,0,0",v
2009-09-29 02:00,1.595,0.025,"0,0,0,0",v
2009-09-29 02:06,1.575,0.025,"0,0,0,0",v
2009-09-29 02:12,1.55,0.019,"0,0,0,0",v
2009-09-29 02:18,1.552,0.024,"0,0,0,0",v
2009-09-29 02:24,1.543,0.028,"0,0,0,0",v
2009-09-29 02:30,1.521,0.024,"0,0,0,0",v
2009-09-29 02:36,1.512,0.024,"0,0,0,0",v
2009-09-29 02:42,1.526,0.024,"0,0,0,0",v
2009-09-29 02:48,1.491,0.022,"0,0,0,0",v
2009-09-29 02:54,1.478,0.026,"0,0,0,0",v
2009-09-29 03:00,1.481,0.025,"0,0,0,0",v
2009-09-29 03:06,1.47,0.024,"0,0,0,0",v
2009-09-29 03:12,1.473,0.023,"0,0,0,0",v
2009-09-29 03:18,1.445,0.021,"0,0,0,0",v
2009-09-29 03:24,1.434,0.022,"0,0,0,0",v
2009-09-29 03:30,1.422,0.023,"0,0,0,0",v
2009-09-29 03:36,1.444,0.023,"0,0,0,0",v
2009-09-29 03:42,1.42,0.021,"0,0,0,0",v
2009-09-29 03:48,1.409,0.026,"0,0,0,0",v
2009-09-29 03:54,1.401,0.02,"0,0,0,0",v
2009-09-29 04:00,1.403,0.024,"0,0,0,0",v
2009-09-29 04:06,1.393,0.023,"0,0,0,0",v
2009-09-29 04:12,1.38,0.024,"0,0,0,0",v
2009-09-29 04:18,1.389,0.017,"0,0,0,0",v
2009-09-29 04:24,1.369,0.025,"0,0,0,0",v
2009-09-29 04:30,1.383,0.019,"0,0,0,0",v
2009-09-29 04:36,1.388,0.02,"0,0,0,0",v
2009-09-29 04:42,1.354,0.021,"0,0,0,0",v
2009-09-29 04:48,1.385,0.029,"0,0,0,0",v
2009-09-29 04:54,1.375,0.028,"0,0,0,0",v
2009-09-29 05:00,1.375,0.027,"0,0,0,0",v
2009-09-29 05:06,1.349,0.021,"0,0,0,0",v
2009-09-29 05:12,1.353,0.02,"0,0,0,0",v
2009-09-29 05:18,1.37,0.028,"0,0,0,0",v
2009-09-29 05:24,1.363,0.02,"0,0,0,0",v
2009-09-29 05:30,1.366,0.026,"0,0,0,0",v
2009-09-29 05:36,1.369,0.022,"0,0,0,0",v
2009-09-29 05:42,1.349,0.024,"0,0,0,0",v
2009-09-29 05:48,1.374,0.026,"0,0,0,0",v
2009-09-29 05:54,1.363,0.026,"0,0,0,0",v
2009-09-29 06:00,1.382,0.026,"0,0,0,0",v
